0	Index      	 *	Score 	Summary	Detail	
1	11512 23532	 * 	237.04	DCR|2MDPS|3VULN|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9aMDPS
176	11241 53611	   	207.99	DCR|4VULN|1AART|1ASPD|1AAC	1238VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|9AAC|aERES
177	11241 53613	   	207.99	DCR|4VULN|1AART|1ASPD|1AAC	1238VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|9AAC|aFEWX
178	11321 55611	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1248VULN|3LWND|5AART|6RCR|7DMG|9AAC|aERES
179	11321 55613	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1248VULN|3LWND|5AART|6RCR|7DMG|9AAC|aFEWX
180	11321 55633	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1248VULN|3LWND|5AART|6RCR|7DMG|9DUST|aAAC
181	12341 53611	   	207.99	DCR|4VULN|1AART|1ASPD|1AAC	1348VULN|2LHND|5AART|6RCR|7ASPD|9AAC|aERES
182	12341 53613	   	207.99	DCR|4VULN|1AART|1ASPD|1AAC	1348VULN|2LHND|5AART|6RCR|7ASPD|9AAC|aFEWX
183	21321 55611	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1LWND|2348VULN|5AART|6RCR|7DMG|9AAC|aERES
184	21321 55613	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1LWND|2348VULN|5AART|6RCR|7DMG|9AAC|aFEWX
185	21321 55633	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1LWND|2348VULN|5AART|6RCR|7DMG|9DUST|aAAC
186	11515 23523	   	207.38	DCR|4VULN|2DMG|1CDMG	127aVULN|37ERES|4aDMG|5CDMG|67LHND|7aBPWR|8RCR|9aDUST
187	11515 21523	   	207.28	DCR|4VULN|2DMG|1CDMG	127aVULN|3ERES|4aDMG|5CDMG|6LHND|8RCR|9aDUST|aBPWR
188	11512 23511	   	207.26	DCR|3VULN|2DMG|2CDMG|1DUR	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9LIT|aDUR
189	11512 23542	   	207.26	DCR|3VULN|2DMG|2CDMG|1DUR	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9LHND|aDUR
190	11512 23552	   	207.26	DCR|3VULN|2DMG|2CDMG|1DUR	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9BEXP|aDUR
191	11512 23522	   	207.16	DCR|3VULN|2DMG|2CDMG|1DUR	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9DUST|aDUR
192	11231 53626	 * 	207.06	DCR|4VULN|1MDPS|1AART|1AAC	1238VULN|38BPWR|48BEXP|5AART|6RCR|78LIT|9MDPS|aAAC
