0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41431 11215	1	 * 	278.08	DCR|5VULN|2DUR|1DMG	1RPLT|2LHND|35679VULN|46DUR|6BPWR|8RCR|aDMG
173	26341 21216	5	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1LWND|279VULN|3ERES|4DMG|5aDUR|6CDMG|8RCR
174	42341 63122	9	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1RPLT|2CDMG|35DUR|4DMG|678VULN|9ERES|aRCR
175	11113 62212	3	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	17ERES|279VULN|3CDMG|4MLV|57DUR|6MBVNT|7BPWR|8RCR|aDMG
176	11123 62212	5	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	17ERES|279VULN|3CDMG|4MLV|57DUR|6MBVNT|7BPWR|8RCR|aDMG
177	11123 62212	4	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	17ERES|279VULN|3CDMG|4MLV|57DUR|6MBVNT|7BPWR|8RCR|aDMG
178	11142 62212	5	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	17ERES|279VULN|3CDMG|4CGEN|57DUR|6MBVNT|7BPWR|8RCR|aDMG
179	11143 62212	4	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	17ERES|279VULN|3CDMG|4CGEN|57DUR|6MBVNT|7BPWR|8RCR|aDMG
180	11143 62212	3	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	17ERES|279VULN|3CDMG|4CGEN|57DUR|6MBVNT|7BPWR|8RCR|aDMG
181	11121 62217	3	   	249.25	DCR|3VULN|2DUR|2TLV|1CDMG	17ERES|279VULN|3CDMG|4aDUR|57TLV|6MBVNT|7BPWR|8RCR
182	11325 33366	4	   	249.18	DCR|4VULN|2DUR|1ASPD	16ERES|249aVULN|3ASPD|56DUR|6BPWR|7TBNT|8RCR
183	23521 35363	4	   	249.12	DCR|3VULN|3DUR|1DMG	13LWND|258DUR|45aVULN|5BPWR|6MLV|7RCR|9DMG
184	11342 35352	3	   	249.03	DCR|2VULN|3DUR|3ASPD|1TLV	167ERES|27VULN|37aASPD|456DUR|67BPWR|8RCR|9TLV
185	11361 35352	5	   	249.03	DCR|2VULN|3DUR|3ASPD|1TLV	167ERES|27VULN|37aASPD|456DUR|67BPWR|8RCR|9TLV
186	11362 35352	4	   	249.03	DCR|2VULN|3DUR|3ASPD|1TLV	167ERES|27VULN|37aASPD|456DUR|67BPWR|8RCR|9TLV
187	31254 61212	9	   	248.98	DCR|3VULN|3DUR|1DMG|1AART|1SELL	18CGEN|268VULN|3AART|4SELL|568DUR|68BPWR|7RCR|9FEWX|aDMG
188	31254 61222	8	   	248.98	DCR|3VULN|3DUR|1DMG|1AART|1SELL	18CGEN|268VULN|3AART|4SELL|568DUR|68BPWR|7RCR|9LHND|aDMG
189	31326 14125	7	   	248.91	DCR|4VULN|2ASPD|2CDMG	17CGEN|248aVULN|37ASPD|57CDMG|6RCR|7BPWR|9LHND
190	31325 32331	4	   	248.79	DCR|3VULN|2DUR|1CDMG|1ASPD	16CGEN|24aVULN|3ASPD|56DUR|6BPWR|7CDMG|8RCR|9LIT
191	11326 14125	7	   	248.71	DCR|4VULN|2ASPD|2CDMG	17ERES|248aVULN|37ASPD|57CDMG|6RCR|7BPWR|9LHND
192	11326 14325	8	   	248.71	DCR|4VULN|2ASPD|2CDMG	17ERES|248aVULN|37ASPD|57CDMG|6RCR|7BPWR|9LHND
193	11326 14335	9	   	248.71	DCR|4VULN|2ASPD|2CDMG	17ERES|248aVULN|37ASPD|57CDMG|6RCR|7BPWR|9LWND
194	31326 54332	7	   	248.64	DCR|4VULN|1DUR|1CDMG|1ASPD	17CGEN|2479VULN|3ASPD|5CDMG|67FEWX|7BPWR|8RCR|aDUR
195	26512 22222	5	   	248.63	DCR|2VULN|2DMG|2DUR|1CDMG	1LWND|28VULN|3LHND|4LIT|58DMG|6CDMG|78DUR|8BPWR|9RPLT|aRCR
196	65313 53332	2	   	248.46	DCR|3VULN|2DMG|1TLV|1AART	1DMSP|29DMG|368VULN|4TLV|5AART|7LHND|aRCR
197	65113 23343	4	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1DMSP|23DMG|4DUR|589VULN|6AART|7ZMB|aRCR
198	11326 54332	7	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	17ERES|2479VULN|3ASPD|5CDMG|67FEWX|7BPWR|8RCR|aDUR
199	11326 14343	9	   	248.36	DCR|3VULN|3CDMG|2ASPD|1DUR	17ERES|248VULN|37ASPD|57aCDMG|6RCR|7BPWR|9DUR
200	11256 32332	7	   	248.36	DCR|3VULN|2DMG|1TLV|1AART	1ERES|278VULN|3AART|4MLV|5TLV|69DMG|aRCR
201	42338 51213	8	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1RPLT|2CDMG|3DUR|4MBVNT|589aVULN|6ASPD|7RCR
202	26623 13225	6	   	248.33	DCR|4VULN|2DUR|1AART	135LWND|2459VULN|59BPWR|69DUR|79CGEN|8AART|aRCR
203	11242 32632	8	   	248.26	DCR|3VULN|2DMG|1DUR|1AART	14ERES|267VULN|3AART|5DUR|89DMG|aRCR
204	31214 62533	8	   	248.17	DCR|4VULN|1DMG|1ASPD|1AART	1CGEN|2578VULN|3AART|4DUST|6ASPD|9DMG|aRCR
205	31245 11633	9	   	248.17	DCR|4VULN|1DMG|1ASPD|1AART	1CGEN|2569VULN|3AART|4ERES|7ASPD|8DMG|aRCR
206	41431 11231	1	   	248.13	DCR|4VULN|2DUR|1AART	1RPLT|2aLHND|3567VULN|46DUR|6BPWR|8RCR|9AART
207	41431 11236	1	   	248.13	DCR|4VULN|2DUR|1AART	1RPLT|2LHND|3567VULN|46DUR|6BPWR|8RCR|9AART|aBEXP
