0	Index      	 *	Score 	Summary	Detail	
1	34231 52433	 * 	183.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2AART|389VULN|4FEWX|5DUR|6RCR|7DMG|aZMB
165	24262 32241	   	155.09	DCR|1AART|1VULN|1DMG|2ASPD|1ZMB	1MLV|2DLOT|3DMG|4LHND|5AART|6RCR|78ASPD|9ZMB|aVULN
166	24262 31613	   	155.06	DCR|2VULN|1AART|1DMG|1ASPD	1MLV|2DLOT|3DMG|4LHND|5AART|6RCR|78VULN|9DMSP|aASPD
167	12336 52374	 * 	154.91	DCR|2AART|2DMG|2VULN|2MSE	19MSE|29VULN|3aAART|4FEWX|5LWND|6RCR|79DMG|8MBVNT|9BPWR
168	12363 52374	 * 	154.91	DCR|2AART|2DMG|2VULN|2MSE	19MSE|29VULN|3aAART|4LWND|5FEWX|6RCR|79DMG|8MBVNT|9BPWR
169	34224 21271	 * 	154.60	DCR|2AART|2VULN|1CDMG|1ASPD	1DUST|28AART|3aVULN|4LHND|5MBVNT|6ASPD|7CDMG|9RCR
170	12336 52372	   	154.47	DCR|2VULN|2DMG|1AART|1ZMB|2MSE	19MSE|29VULN|3AART|4FEWX|5LWND|6RCR|79DMG|8MBVNT|9BPWR|aZMB
171	12363 52372	   	154.47	DCR|2VULN|2DMG|1AART|1ZMB|2MSE	19MSE|29VULN|3AART|4LWND|5FEWX|6RCR|79DMG|8MBVNT|9BPWR|aZMB
172	34642 33231	   	154.32	DCR|2VULN|1AART|2ASPD|1ZMB	17aDUST|2AART|3ZMB|4DLOT|5aASPD|6RCR|8aVULN|9RPLT|aBPWR
173	54312 12353	   	154.30	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1FEWX|2AART|3BEXP|45VULN|6CGEN|7ASPD|8DMG|9DUR|aRCR
174	25231 51112	   	154.29	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|2AIRHEL|3DMG|48VULN|5RCR|6DUST|7CDMG|9MGNLIT|aAART
175	33516 62222	 * 	154.28	ACR|3VULN|1AART|1ZMB|1ASPD	149DUST|29BEXP|3ZMB|5RCR|6ASPD|789VULN|9BPWR|aAART
176	34623 62312	   	154.26	DCR|3AART|1VULN|1DMG|1ZMB	1DUST|245AART|3ZMB|6DMG|79BEXP|8RCR|aVULN
177	34211 42353	   	154.20	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1DUST|2AART|34VULN|5MLV|6BEXP|7ASPD|8DMG|9DUR|aRCR
178	34214 42133	   	154.20	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2AART|34VULN|5ASPD|6BEXP|7DMG|8DUR|9RMIN|aRCR
179	34232 12353	   	154.20	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2AART|35VULN|4FEWX|6CGEN|7ASPD|8DMG|9DUR|aRCR
180	34412 12353	   	154.20	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2AART|3BEXP|45VULN|6CGEN|7ASPD|8DMG|9DUR|aRCR
181	54112 12353	   	154.20	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1FEWX|2AART|3DUST|45VULN|6CGEN|7ASPD|8DMG|9DUR|aRCR
182	34623 62321	   	154.16	DCR|3AART|1VULN|1DMG|1ZMB	1DUST|245AART|3ZMB|6DMG|7BEXP|8RCR|9VULN|aDLOT
183	34212 16116	   	153.88	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2AART|34VULN|5RCVC|6DMG|7ERES|8RPLT|9CDMG|aRCR
184	34213 61116	   	153.78	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2AART|34VULN|5RPLT|67ERES|8DMG|9CDMG|aRCR
185	12142 52374	 * 	153.71	DCR|2AART|2DMG|2VULN|2MSE	19MSE|29VULN|3FEWX|4LWND|5aAART|6RCR|79DMG|8MBVNT|9BPWR
186	26613 34232	   	153.67	DCR|3VULN|1DMG|1CDMG|1ASPD	19MLV|2ASPD|39LIT|4FEWX|5CDMG|679VULN|8RCR|9BPWR|aDMG
187	34213 35532	   	153.63	DCR|2VULN|1AART|1DMG|1ZMB	1DUST|2AART|34VULN|5aRPLT|6TLV|7DMG|8ZMB|9RCR
188	34322 35531	   	153.63	DCR|2VULN|1AART|1DMG|1ZMB	1DUST|2AART|3RCVC|4RPLT|5aVULN|6TLV|7DMG|8ZMB|9RCR
189	34122 35531	   	153.53	DCR|2VULN|1AART|1DMG|1ZMB	13DUST|2AART|4RPLT|5aVULN|6TLV|7DMG|8ZMB|9RCR
