0	Index      	 *	Score 	Summary	Detail	
1	13163 31514	 * 	190.67	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3LWND|4AART|5aDMG|689VULN|7RCR
161	21263 41631	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|69VULN|7RCR|8FEWX|aCDMG
162	11163 51131	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|6LHND|7RCR|89VULN|aCDMG
163	21263 51131	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|6LHND|7RCR|89VULN|aCDMG
164	61263 61131	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2ASPD|3FEWX|4AART|5DMG|6LWND|7RCR|89VULN|aCDMG
165	46211 33251	 * 	167.01	DCR|4VULN|2CDMG|2ASPD|2RCVC	16RCVC|27CDMG|3LWND|47ASPD|579aVULN|7BPWR|8RCR
166	46311 33251	   	167.01	DCR|4VULN|2CDMG|2ASPD|2RCVC	16RCVC|27CDMG|3LHND|47ASPD|579aVULN|7BPWR|8RCR
167	31163 41331	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8LHND|aCDMG
168	31163 41631	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8FEWX|aCDMG
169	31163 51131	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|6LHND|7RCR|89VULN|aCDMG
170	61263 41132	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2ASPD|3FEWX|4AART|59DMG|6VULN|7RCR|8TLV|aCDMG
171	21331 31265	 * 	166.81	DCR|2VULN|1AART|3ASPD|1CDMG|2DUR	1LWND|247ASPD|34DUR|4BPWR|5AART|68VULN|9RCR|aCDMG
172	45513 32133	 * 	166.74	ACR|2VULN|2DMG|1AART	1RCVC|2aBEXP|3AART|4LWND|5RCR|6aVULN|7FEWX|8TLV|9aDMG|aBPWR
173	45221 43117	   	166.31	DCR|3VULN|2DMG|1DUR	1RCVC|2aBEXP|3DUR|49aVULN|5MBVNT|6RCR|7RMIN|8aDMG|aBPWR
174	13163 31212	   	166.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ZMB|3LWND|4AART|5DMG|69VULN|7RCR|8RCVC|aASPD
175	22461 51213	   	166.12	DCR|2VULN|2DMG|1AART	1aLWND|2BEXP|3aDMG|4AART|5CGEN|6LHND|7RCR|8RCVC|9aVULN|aBPWR
176	22465 31213	   	166.12	DCR|2VULN|2DMG|1AART	1aLWND|2BEXP|3aDMG|4AART|5LHND|6CGEN|7RCR|8RCVC|9aVULN|aBPWR
177	15462 31213	   	166.02	DCR|2VULN|2DMG|1AART	1aBEXP|2LHND|3aDMG|4AART|5DUST|6CGEN|7RCR|8RCVC|9aVULN|aBPWR
178	22462 31213	   	166.02	DCR|2VULN|2DMG|1AART	1aLWND|2BEXP|3aDMG|4AART|5DUST|6CGEN|7RCR|8RCVC|9aVULN|aBPWR
179	62462 31213	   	166.02	DCR|2VULN|2DMG|1AART	1aLHND|2BEXP|3aDMG|4AART|5DUST|6CGEN|7RCR|8RCVC|9aVULN|aBPWR
180	13633 14613	   	165.92	DCR|2VULN|1AART|3ASPD|2ZMB|1DUR	136BEXP|29ZMB|49VULN|569ASPD|69BPWR|7RCR|8AART|aDUR
181	22461 31214	   	165.92	DCR|2VULN|2DMG|1AART	1LWND|2BEXP|3aDMG|4AART|5CGEN|69VULN|7RCR|8RCVC
182	22462 41213	   	165.92	DCR|2VULN|2DMG|1AART	1aLWND|2BEXP|3aDMG|4AART|5DUST|6ERES|7RCR|8RCVC|9aVULN|aBPWR
183	11163 11134	   	165.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|6aDUR|7RCR|89VULN
184	21263 11134	   	165.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|6aDUR|7RCR|89VULN
185	21363 41336	   	165.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2ASPD|3aDUR|4AART|5DMG|69VULN|7RCR|8LHND
186	21363 51136	   	165.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2ASPD|3aDUR|4AART|5DMG|6LHND|7RCR|89VULN
187	21363 51215	   	165.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2ASPD|38DUR|4AART|5DMG|6LHND|7RCR|9aVULN
188	61263 11134	   	165.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LHND|2ASPD|3FEWX|4AART|5DMG|6aDUR|7RCR|89VULN
189	21363 31134	   	165.50	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2ASPD|3aDUR|4AART|5DMG|6DUST|7RCR|89VULN
190	21363 41125	   	165.50	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2ASPD|39DUR|4AART|5DMG|6aVULN|7RCR|8TLV
191	31163 11134	   	165.50	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|6aDUR|7RCR|89VULN
192	61663 13211	   	165.41	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1LHND|2ASPD|3BEXP|47AART|5DMG|6DUR|8RCR|9VULN|aCDMG
193	21363 51313	   	165.17	DCR|2AART|1DMG|1VULN|1ZMB|1ASPD|1DUR	1LWND|2ASPD|3DUR|48AART|5DMG|6LHND|7RCR|9VULN|aZMB
194	15245 23311	   	164.84	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1BEXP|2aLHND|3DUR|4ASPD|5aVULN|6NUKE|7RCR|8CDMG|9aDMG|aBPWR
195	25245 23211	   	164.84	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LWND|2aLHND|3DUR|4ASPD|5aVULN|6NUKE|7RCR|8CDMG|9aDMG|aBPWR
196	62245 23311	   	164.84	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LHND|2aBEXP|3DUR|4ASPD|5aVULN|6NUKE|7RCR|8CDMG|9aDMG|aBPWR
197	22461 11532	   	164.81	DCR|2AART|2VULN|1DMG|1DUR	1LWND|2BEXP|3DMG|4aAART|5CGEN|6DUR|7RCR|89VULN
198	22461 31632	   	164.81	DCR|2AART|2VULN|1DMG|1DUR	1LWND|2BEXP|3DMG|4aAART|5CGEN|69VULN|7RCR|8DUR
199	11163 21211	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BEXP|2ASPD|3LWND|4AART|56DMG|7LHND|8RCR|9VULN|aCDMG
200	15463 11211	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BEXP|2LHND|35DMG|4AART|6LWND|7ASPD|8RCR|9VULN|aCDMG
201	21263 21211	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2ASPD|3BEXP|4AART|56DMG|7LHND|8RCR|9VULN|aCDMG
202	22463 11211	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2BEXP|35DMG|4AART|6LHND|7ASPD|8RCR|9VULN|aCDMG
203	61263 24211	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2ASPD|3FEWX|4AART|56DMG|7BEXP|8RCR|9VULN|aCDMG
204	62463 11211	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2BEXP|35DMG|4AART|6LWND|7ASPD|8RCR|9VULN|aCDMG
205	21331 31261	 * 	164.61	DCR|2AART|2VULN|3ASPD|2DUR	1LWND|247ASPD|34DUR|4BPWR|5aAART|68VULN|9RCR
206	12534 22512	   	164.55	DCR|2VULN|2DMG|1AART|1DUR	128BEXP|3AART|48DMG|5RMIN|6RPLT|78VULN|8BPWR|9DUR|aRCR
207	22466 13213	   	164.52	DCR|2VULN|2DMG|1AART	1aLWND|2BEXP|3aDMG|4AART|5RCVC|6LHND|7ERES|8RCR|9aVULN|aBPWR
208	26463 11211	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2DUST|35DMG|4AART|6LHND|7ASPD|8RCR|9VULN|aCDMG
209	31163 21211	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3LWND|4AART|56DMG|7LHND|8RCR|9VULN|aCDMG
210	35463 11211	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2LHND|35DMG|4AART|6LWND|7ASPD|8RCR|9VULN|aCDMG
211	11255 23311	   	164.51	DCR|2VULN|2DMG|2ASPD|1CDMG	1BEXP|2aASPD|3FEWX|4LHND|5aVULN|6NUKE|7RCR|8CDMG|9aDMG|aBPWR
212	21453 23211	   	164.51	DCR|2VULN|2DMG|2ASPD|1CDMG	1LWND|2aASPD|3RMIN|4DUST|5LHND|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
213	31463 23211	   	164.51	DCR|2VULN|2DMG|2ASPD|1CDMG	1DUST|2aASPD|3RMIN|4FEWX|5LWND|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
214	61453 23211	   	164.51	DCR|2VULN|2DMG|2ASPD|1CDMG	1LHND|2aASPD|3RMIN|4DUST|5LWND|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
215	11163 41333	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8LHND|aZMB
216	11163 41633	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8FEWX|aZMB
217	13163 11132	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|6DUR|7RCR|89VULN|aDMSP
218	13163 11136	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|6DUR|7RCR|89VULN|aCGEN
219	21263 41333	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|69VULN|7RCR|8LHND|aZMB
220	21263 41633	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|69VULN|7RCR|8FEWX|aZMB
221	13163 31334	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|69VULN|7RCR|8LHND|aDUR
222	13163 31435	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|69VULN|7RCR|8LIT|aDUR
223	13163 31532	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|68VULN|7RCR|9DUR|aDMSP
224	13163 31536	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|68VULN|7RCR|9DUR|aCGEN
225	13163 31633	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|69VULN|7RCR|8FEWX|aDUR
226	13163 31636	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ZMB|3LWND|4AART|5DMG|69VULN|7RCR|8FEWX|aASPD
227	13163 51134	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|6LHND|7RCR|89VULN|aDUR
228	11163 51133	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|6LHND|7RCR|89VULN|aZMB
229	21263 51133	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|6LHND|7RCR|89VULN|aZMB
230	61263 61133	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LHND|2ASPD|3FEWX|4AART|5DMG|6LWND|7RCR|89VULN|aZMB
231	13421 41211	   	164.36	DCR|2VULN|2DMG|1CDMG|1ZMB	1aBEXP|2ZMB|3RMIN|4aVULN|5MBVNT|6RCR|7CDMG|8LHND|9aDMG|aBPWR
232	45221 41211	   	164.30	DCR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2aBEXP|3DUR|4aVULN|5MBVNT|6RCR|7CDMG|8LHND|9aDMG|aBPWR
233	13163 11124	   	164.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5aDMG|6DUR|7RCR|8VULN|9DLOT
234	13163 11135	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|6DUR|7RCR|89VULN|aMBVNT
235	13163 11155	   	164.27	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5aDMG|6DUR|7RCR|8VULN|9ERES
236	31163 41333	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8LHND|aZMB
237	31163 41633	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|69VULN|7RCR|8FEWX|aZMB
238	31163 51133	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2ASPD|3LWND|4AART|5DMG|6LHND|7RCR|89VULN|aZMB
239	13163 31535	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|68VULN|7RCR|9DUR|aMBVNT
240	13163 31543	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|68VULN|7RCR|9MBVNT|aDUR
241	13163 31125	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4AART|5DMG|6aVULN|7RCR|8TLV|9DUR
242	13421 41811	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	1aBEXP|2ZMB|3RMIN|4aVULN|5MBVNT|6RCR|7CDMG|8DUST|9aDMG|aBPWR
243	25411 43213	   	164.22	DCR|2VULN|2DMG|1AART	1aLWND|2LHND|3aDMG|4RCVC|5AART|6BEXP|7ERES|8RCR|9aVULN|aBPWR
244	45221 41811	   	164.20	DCR|2VULN|2DMG|1CDMG|1DUR	1RCVC|2aBEXP|3DUR|4aVULN|5MBVNT|6RCR|7CDMG|8DUST|9aDMG|aBPWR
245	25411 33213	   	164.12	DCR|2VULN|2DMG|1AART	1aLWND|2LHND|3aDMG|4RCVC|5AART|6DUST|7ERES|8RCR|9aVULN|aBPWR
246	25431 41211	   	164.11	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|24LHND|34DMG|4BPWR|5AART|6BEXP|7ASPD|8RCR|9VULN|aCDMG
247	15462 31313	   	164.11	DCR|2VULN|2DMG|1AART	1aBEXP|28LHND|3aDMG|4AART|5DUST|6CGEN|7RCR|9aVULN|aBPWR
248	62462 31313	   	164.11	DCR|2VULN|2DMG|1AART	18aLHND|2BEXP|3aDMG|4AART|5DUST|6CGEN|7RCR|9aVULN|aBPWR
249	25431 31211	   	164.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|24LHND|34DMG|4BPWR|5AART|6DUST|7ASPD|8RCR|9VULN|aCDMG
250	22462 61313	   	164.01	DCR|2VULN|2DMG|1AART	1aLWND|28BEXP|3aDMG|4AART|5DUST|6TLV|7RCR|9aVULN|aBPWR
251	25461 31211	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2LHND|34DMG|5AART|6DUST|7ASPD|8RCR|9VULN|aCDMG
252	22461 31135	   	163.91	DCR|2VULN|2DMG|1AART	1LWND|2BEXP|39DMG|4AART|5CGEN|6aVULN|7RCR|8TLV
253	21363 41234	   	163.68	DCR|2DMG|1AART|1VULN|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5aDMG|6VULN|7RCR|89RCVC
254	63166 31212	   	163.41	DCR|2VULN|2DMG|1AART	1LHND|2CGEN|3LWND|49DMG|5AART|6aVULN|7RCR|8BELT
255	21363 11215	   	163.20	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2ASPD|36DUR|4AART|5DMG|7LHND|8RCR|9aVULN
256	12513 31533	   	162.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	12BEXP|3AART|4LWND|5RCR|68VULN|7ZMB|9DUR|aDMG
257	11163 11611	 * 	162.98	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1BEXP|28ASPD|3LWND|4AART|5DMG|6DUR|7RCR|9VULN|aCDMG
258	21263 11611	   	162.98	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1LWND|28ASPD|3BEXP|4AART|5DMG|6DUR|7RCR|9VULN|aCDMG
259	21363 51611	   	162.98	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG|1DUR	1LWND|28ASPD|3DUR|4AART|5DMG|6LHND|7RCR|9VULN|aCDMG
260	61263 11611	   	162.98	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1LHND|28ASPD|3FEWX|4AART|5DMG|6DUR|7RCR|9VULN|aCDMG
261	46262 13331	   	162.91	DCR|2VULN|3CDMG|1AART|1ASPD	1RCVC|247CDMG|37LWND|57VULN|6RCR|7BPWR|8MGNSTR|9AART|aASPD
262	46362 13331	   	162.91	DCR|2VULN|3CDMG|1AART|1ASPD	1RCVC|247CDMG|37LHND|57VULN|6RCR|7BPWR|8MGNSTR|9AART|aASPD
263	45221 44117	   	162.89	DCR|2VULN|2DMG|2DUR|1ASPD	1RCVC|2aBEXP|3aDUR|49VULN|5MBVNT|6RCR|7ASPD|8aDMG|aBPWR
264	21363 31611	   	162.88	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1LWND|28ASPD|3DUR|4AART|5DMG|6DUST|7RCR|9VULN|aCDMG
265	31163 11611	   	162.88	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	1DUST|28ASPD|3LWND|4AART|5DMG|6DUR|7RCR|9VULN|aCDMG
266	12433 14234	   	162.81	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	12BEXP|3RMIN|46VULN|56ASPD|6BPWR|7AART|8RCR|9DUR|aDMG
267	61663 13213	   	162.77	DCR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1LHND|2ASPD|3BEXP|47AART|5DMG|6DUR|8RCR|9VULN|aZMB
268	12513 32133	   	162.73	ACR|2VULN|2DMG|1AART	12aBEXP|3AART|4LWND|5RCR|6aVULN|7FEWX|8TLV|9aDMG|aBPWR
269	65513 32133	   	162.73	ACR|2VULN|2DMG|1AART	12aLHND|3AART|4LWND|5RCR|6aVULN|7FEWX|8TLV|9aDMG|aBPWR
270	21364 31533	   	162.61	DCR|3VULN|1AART|2ASPD|1DUR	1aLWND|2aASPD|3DUR|4AART|5LEGI|6CGEN|7RCR|89aVULN|aBPWR
271	21364 61133	   	162.51	DCR|3VULN|1AART|2ASPD|1DUR	1aLWND|2aASPD|3DUR|4AART|5LEGI|6TLV|7RCR|89aVULN|aBPWR
272	21363 43133	   	162.47	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|6VULN|7CDMG|8ERES|9RCR|aZMB
273	15463 33232	 * 	162.31	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|2LHND|35DMG|4aAART|6VULN|7ERES|8RCR|9DUR
274	35463 23212	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LHND|35DMG|4aAART|6CGEN|7DUR|8RCR|9VULN
275	62463 33232	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1LHND|2BEXP|35DMG|4aAART|6VULN|7ERES|8RCR|9DUR
276	12513 35235	 * 	162.30	ACR|3VULN|1AART|1DMG	12BEXP|3AART|4LWND|5RCR|678VULN|9RCVC|aDMG
277	12221 43117	   	162.30	DCR|3VULN|2DMG|1DUR	12aBEXP|3DUR|49aVULN|5MBVNT|6RCR|7RMIN|8aDMG|aBPWR
278	21421 48711	   	162.30	DCR|3VULN|2DMG|1ASPD	1aLWND|2ASPD|3RMIN|47aVULN|5MBVNT|6RCR|8RPLT|9aDMG|aBPWR
279	12533 61613	   	162.21	DCR|2VULN|2DMG|1AART	12aBEXP|3AART|4aDMG|5TLV|6LWND|7LEGI|8RCR|9aVULN|aBPWR
280	12534 11214	   	162.21	DCR|2VULN|2DMG|1AART	12BEXP|3AART|4aDMG|5RMIN|69VULN|7LHND|8RCR
281	35463 33232	   	162.21	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LHND|35DMG|4aAART|6VULN|7ERES|8RCR|9DUR
282	21361 41314	   	162.21	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5CGEN|69VULN|7RCR|8RCVC|aDMG
283	21363 41211	   	162.21	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8RCVC|aRPLT
284	21363 41213	   	162.21	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8RCVC|aCGEN
285	15461 31333	   	162.18	DCR|3VULN|1AART|1DMG	1aBEXP|2aLHND|3DMG|4AART|5CGEN|69aVULN|7RCR|8LEGI|aBPWR
286	22461 31333	   	162.18	DCR|3VULN|1AART|1DMG	1aLWND|2aBEXP|3DMG|4AART|5CGEN|69aVULN|7RCR|8LEGI|aBPWR
287	62461 31333	   	162.18	DCR|3VULN|1AART|1DMG	1aLHND|2aBEXP|3DMG|4AART|5CGEN|69aVULN|7RCR|8LEGI|aBPWR
288	65532 31213	   	162.11	DCR|2DMG|2VULN|1AART	12aLHND|3AART|4aDMG|5ERES|6DUST|7LEGI|8RCR|9aVULN|aBPWR
289	65533 31213	   	162.11	DCR|2VULN|2DMG|1AART	12aLHND|3AART|4aDMG|5TLV|6DUST|7LEGI|8RCR|9aVULN|aBPWR
290	21363 41215	   	162.11	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|69VULN|7RCR|8RCVC|aNUKE
291	15461 31133	   	161.98	DCR|3DMG|1AART|1VULN	1BEXP|2LHND|39aDMG|4AART|5CGEN|6VULN|7RCR|8TLV
292	22461 31133	   	161.98	DCR|3DMG|1AART|1VULN	1LWND|2BEXP|39aDMG|4AART|5CGEN|6VULN|7RCR|8TLV
293	22461 31335	   	161.98	DCR|3VULN|1AART|1DMG	1LWND|2BEXP|3DMG|4AART|5CGEN|69aVULN|7RCR|8LEGI
294	26461 31333	   	161.98	DCR|3VULN|1AART|1DMG	1aLWND|2aDUST|3DMG|4AART|5CGEN|69aVULN|7RCR|8LEGI|aBPWR
295	35461 31333	   	161.98	DCR|3VULN|1AART|1DMG	1aDUST|2aLHND|3DMG|4AART|5CGEN|69aVULN|7RCR|8LEGI|aBPWR
296	62461 31133	   	161.98	DCR|3DMG|1AART|1VULN	1LHND|2BEXP|39aDMG|4AART|5CGEN|6VULN|7RCR|8TLV
297	11163 21213	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1BEXP|2ASPD|3LWND|4AART|56DMG|7LHND|8RCR|9VULN|aZMB
298	15463 11213	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1BEXP|2LHND|35DMG|4AART|6LWND|7ASPD|8RCR|9VULN|aZMB
299	21263 21213	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2ASPD|3BEXP|4AART|56DMG|7LHND|8RCR|9VULN|aZMB
300	22463 11213	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2BEXP|35DMG|4AART|6LHND|7ASPD|8RCR|9VULN|aZMB
301	61263 24213	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LHND|2ASPD|3FEWX|4AART|56DMG|7BEXP|8RCR|9VULN|aZMB
302	62463 11213	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LHND|2BEXP|35DMG|4AART|6LWND|7ASPD|8RCR|9VULN|aZMB
303	21363 41531	   	161.91	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|68VULN|7RCR|9RCVC|aRPLT
304	21363 41533	   	161.91	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|68VULN|7RCR|9RCVC|aCGEN
305	11163 41212	   	161.88	DCR|2VULN|1AART|1DMG|2ASPD	1BEXP|2aASPD|3LWND|4AART|5DMG|69VULN|7RCR|8RCVC
306	21263 41212	   	161.88	DCR|2VULN|1AART|1DMG|2ASPD	1LWND|2aASPD|3BEXP|4AART|5DMG|69VULN|7RCR|8RCVC
307	61263 41212	   	161.88	DCR|2VULN|1AART|1DMG|2ASPD	1LHND|2aASPD|3FEWX|4AART|5DMG|69VULN|7RCR|8RCVC
308	26463 11213	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LWND|2DUST|35DMG|4AART|6LHND|7ASPD|8RCR|9VULN|aZMB
309	31163 21213	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2ASPD|3LWND|4AART|56DMG|7LHND|8RCR|9VULN|aZMB
310	35463 11213	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2LHND|35DMG|4AART|6LWND|7ASPD|8RCR|9VULN|aZMB
311	22461 52213	   	161.81	DCR|2VULN|2DMG|1AART	1aLWND|27BEXP|3aDMG|4AART|5CGEN|6LHND|8RCR|9aVULN|aBPWR
312	22465 32213	   	161.81	DCR|2VULN|2DMG|1AART	1aLWND|27BEXP|3aDMG|4AART|5LHND|6CGEN|8RCR|9aVULN|aBPWR
313	31163 41212	   	161.78	DCR|2VULN|1AART|1DMG|2ASPD	1DUST|2aASPD|3LWND|4AART|5DMG|69VULN|7RCR|8RCVC
314	15462 32213	   	161.71	DCR|2VULN|2DMG|1AART	17aBEXP|2LHND|3aDMG|4AART|5DUST|6CGEN|8RCR|9aVULN|aBPWR
315	15463 21213	   	161.71	DCR|2VULN|2DMG|1AART	1aBEXP|2aLHND|35DMG|4AART|6CGEN|7LEGI|8RCR|9aVULN|aBPWR
316	22462 32613	   	161.71	DCR|2VULN|2DMG|1AART	1aLWND|27BEXP|3aDMG|4AART|5DUST|6CGEN|8RCR|9aVULN|aBPWR
317	22463 21613	   	161.71	DCR|2VULN|2DMG|1AART	1aLWND|2aBEXP|35DMG|4AART|6CGEN|7LEGI|8RCR|9aVULN|aBPWR
318	62462 32213	   	161.71	DCR|2VULN|2DMG|1AART	1aLHND|27BEXP|3aDMG|4AART|5DUST|6CGEN|8RCR|9aVULN|aBPWR
