0	Index      	 *	Score 	Summary	Detail	
1	14182 34248	 * 	290.52	DCR|3LIT|2VULN|2DMG|2ASPD|1DUR	1aDMG|2MBVNT|349LIT|5DUR|6aVULN|7aASPD|8RCR|aBPWR
158	16234 42277	   	265.22	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|47LIT|59aVULN|6LHND|8RCR
159	16234 21277	   	265.12	DCR|2LIT|3VULN|1DMG|1CDMG|1DUR	1DMG|2CDMG|3MBVNT|46LIT|59aVULN|7DUR|8RCR
160	16234 23277	   	265.12	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|59aVULN|7LEGI|8RCR
161	61211 31332	   	264.76	ACR|3LIT|1FLTARM|1MLV|1VULN|1CDMG	1BASICY|2RCR|3FLTARM|4LHND|56aLIT|7MLV|8VULN|9CDMG
162	61231 31132	   	264.76	ACR|3LIT|1FLTARM|1MLV|1VULN|1CDMG	1BASICY|2RCR|3FLTARM|4VULN|56aLIT|7MLV|8LHND|9CDMG
163	61231 36232	   	264.76	ACR|3LIT|1FLTARM|1MLV|1VULN|1CDMG	1BASICY|2RCR|3FLTARM|4VULN|56aLIT|7LWND|8MLV|9CDMG
164	25163 52214	 * 	264.48	DCR|2LIT|3DMG|1MLV|2ASPD	18ASPD|2BASHEA|358DMG|48LIT|6MBVNT|7RCR|8BPWR|9LWND|aMLV
165	14428 23217	   	264.42	DCR|3LIT|2VULN|2DMG	19DMG|2MBVNT|39VULN|45aLIT|6ERES|79FEWX|8RCR|9BPWR
166	25163 52242	 * 	264.38	DCR|2LIT|3DMG|1VULN|2ASPD	18ASPD|2BASHEA|358DMG|48LIT|6MBVNT|7RCR|8BPWR|9DUST|aVULN
167	14442 48247	   	264.32	DCR|3LIT|2VULN|2DMG	16DMG|2MBVNT|36VULN|4LEGI|5RMIN|6BPWR|79aLIT|8RCR
168	13313 11625	   	264.15	ACR|1LIT|2VULN|2DMG|1MLV|2CDMG	15DMG|2RCR|3AART|45CDMG|5BPWR|69VULN|7LIT|8ZMB|aMLV
169	13155 12311	   	263.91	ACR|2LIT|3VULN|2DMG|1ASPD	18DMG|2RCR|38LIT|4LWND|5AART|6ASPD|789VULN|8BPWR|aBEXP
170	13155 12313	   	263.91	ACR|2LIT|3VULN|2DMG|1ASPD	18DMG|2RCR|38LIT|4LWND|5AART|6ASPD|789VULN|8BPWR|aTLV
171	13155 12315	   	263.91	ACR|2LIT|3VULN|2DMG|1ASPD	18DMG|2RCR|38LIT|4LWND|5AART|6ASPD|789VULN|8BPWR|aLHND
172	13155 12316	   	263.91	ACR|2LIT|3VULN|2DMG|1ASPD	18DMG|2RCR|38LIT|4aLWND|5AART|6ASPD|789VULN|8BPWR
173	33113 15313	 * 	263.85	DCR|1LIT|2DMG|1VULN|1MLV|2CDMG|1ASPD	1FEWX|2AART|35DMG|45CDMG|5BPWR|6VULN|7MLV|8RCR|9ASPD|aLIT
174	13155 12314	   	263.81	ACR|2LIT|3VULN|2DMG|1ASPD|1DUR	18DMG|2RCR|38LIT|4LWND|5AART|6ASPD|789VULN|8BPWR|aDUR
175	14313 11713	   	263.75	DCR|1LIT|2DMG|1VULN|1MLV|2CDMG|1ASPD	15DMG|2MBVNT|3AART|45CDMG|5BPWR|6VULN|7LIT|8RCR|9ASPD|aMLV
176	16213 11713	   	263.75	DCR|1LIT|2DMG|1VULN|1MLV|2CDMG|1ASPD	15DMG|25CDMG|3MBVNT|4AART|5BPWR|6VULN|7LIT|8RCR|9ASPD|aMLV
177	13324 24335	 * 	263.45	ACR|1LIT|2VULN|2DMG|1MLV|2ASPD	18DMG|2RCR|3AART|48ASPD|5LIT|6BEXP|78VULN|8BPWR|9LHND|aMLV
178	13324 42335	   	263.45	ACR|1LIT|2VULN|2DMG|1MLV|2ASPD	18DMG|2RCR|3AART|48ASPD|5LIT|6LWND|78VULN|8BPWR|9LHND|aMLV
179	16131 11223	   	263.44	DCR|3VULN|1LIT|2DMG|2DUR|1CDMG	15DMG|2CDMG|37DUR|4LIT|6RCR|89aVULN
180	14428 23211	   	263.37	DCR|2LIT|2VULN|2DMG|1AART	19DMG|2MBVNT|39VULN|45LIT|6ERES|79FEWX|8RCR|9BPWR|aAART
181	14428 25211	   	263.37	DCR|2LIT|2VULN|2DMG|1AART	19DMG|2MBVNT|39VULN|45LIT|6ERES|79BEXP|8RCR|9BPWR|aAART
182	14473 18211	   	263.37	DCR|2LIT|2VULN|2DMG|1AART	19DMG|2MBVNT|39VULN|4ERES|56LWND|79LIT|8RCR|9BPWR|aAART
183	13321 32335	   	263.35	ACR|1LIT|2VULN|2DMG|1MLV|2ASPD|1DUR	18DMG|2RCR|3AART|48ASPD|5DUR|6LIT|78VULN|8BPWR|9LHND|aMLV
184	13321 32365	   	263.35	ACR|1LIT|2VULN|2DMG|1MLV|2ASPD|1DUR	18DMG|2RCR|3AART|48ASPD|5DUR|6LIT|78VULN|8BPWR|9BEXP|aMLV
185	14442 48241	   	263.27	DCR|2LIT|2VULN|2DMG|1AART	16DMG|2MBVNT|36VULN|4LEGI|5RMIN|6BPWR|79LIT|8RCR|aAART
186	14471 38211	   	263.27	DCR|2LIT|2VULN|2DMG|1AART	19DMG|2MBVNT|39VULN|45ERES|6LWND|79LIT|8RCR|9BPWR|aAART
187	13321 32355	   	263.25	ACR|1LIT|2VULN|2DMG|1MLV|2ASPD|1DUR	18DMG|2RCR|3AART|48ASPD|5DUR|6LIT|78VULN|8BPWR|9DUST|aMLV
188	16245 38244	   	263.06	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	18DMG|2CDMG|3MBVNT|48LHND|5CANSTR|6VULN|78LIT|8BPWR|9MLV|aRCR
189	65211 31333	 * 	263.06	DCR|2LIT|1FLTARM|1MLV|1VULN|1CDMG	1BASICY|2BEXP|3FLTARM|4LHND|56LIT|7MLV|8VULN|9CDMG|aRCR
190	65231 31133	   	263.06	DCR|2LIT|1FLTARM|1MLV|1VULN|1CDMG	1BASICY|2BEXP|3FLTARM|4VULN|56LIT|7MLV|8LHND|9CDMG|aRCR
191	65231 36233	   	263.06	DCR|2LIT|1FLTARM|1MLV|1VULN|1CDMG	1BASICY|2BEXP|3FLTARM|4VULN|56LIT|7LWND|8MLV|9CDMG|aRCR
192	16234 47244	   	262.96	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	18DMG|2CDMG|3MBVNT|48LIT|5VULN|6LHND|78BASHEA|8BPWR|9MLV|aRCR
193	16234 48244	   	262.96	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	18DMG|2CDMG|3MBVNT|48LIT|5VULN|6LHND|78BASICY|8BPWR|9MLV|aRCR
194	62416 11133	   	262.96	DCR|2LIT|1FLTARM|1MLV|1VULN|1CDMG|1DUR	1BASICY|25LIT|3VULN|4DUR|6FLTARM|7MLV|8LHND|9CDMG|aRCR
195	64221 31333	   	262.96	DCR|2LIT|1FLTARM|1MLV|1VULN|1CDMG	1BASICY|2LWND|3FLTARM|4DUST|56LIT|7MLV|8VULN|9CDMG|aRCR
196	13114 41332	   	262.92	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2RCR|36LIT|4ZMB|5ERES|7MLV|8aVULN|9ASPD
197	13136 41332	   	262.92	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|2RCR|36LIT|4ERES|5ZMB|7MLV|8aVULN|9ASPD
198	14424 57244	   	262.86	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1DUR	18DMG|2MBVNT|3VULN|48LIT|5DUR|6CDMG|78BASHEA|8BPWR|9MLV|aRCR
199	14424 58244	   	262.86	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1DUR	18DMG|2MBVNT|3VULN|48LIT|5DUR|6CDMG|78BASICY|8BPWR|9MLV|aRCR
200	16234 57244	   	262.86	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1DUR	18DMG|2CDMG|3MBVNT|48LIT|5VULN|6DUR|78BASHEA|8BPWR|9MLV|aRCR
201	16234 58244	   	262.86	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1DUR	18DMG|2CDMG|3MBVNT|48LIT|5VULN|6DUR|78BASICY|8BPWR|9MLV|aRCR
202	14478 23211	   	262.64	DCR|3VULN|1LIT|2DMG|1AART	19DMG|2MBVNT|359VULN|4ERES|6LIT|79FEWX|8RCR|9BPWR|aAART
203	14421 81211	   	262.54	DCR|3VULN|1LIT|2DMG|1AART	19DMG|2MBVNT|379VULN|4LIT|5FEWX|69ERES|8RCR|9BPWR|aAART
204	14425 81211	   	262.54	DCR|3VULN|1LIT|2DMG|1AART	19DMG|2MBVNT|379VULN|4LIT|5LWND|69ERES|8RCR|9BPWR|aAART
205	13314 35243	 * 	262.49	ACR|2LIT|2VULN|1MLV|1DMG|2CDMG	1DMG|2RCR|3AART|46CDMG|56VULN|6BPWR|7MLV|8aLIT|9RMIN
206	14424 81211	   	262.44	DCR|3VULN|1LIT|2DMG|1AART|1DUR	19DMG|2MBVNT|379VULN|4LIT|5DUR|69ERES|8RCR|9BPWR|aAART
207	14315 31714	 * 	262.42	DCR|3VULN|1LIT|1DMG|2CDMG|1ASPD	1DMG|2MBVNT|3AART|46CDMG|56aVULN|6BPWR|7LIT|8RCR|9ASPD
208	16215 31714	   	262.42	DCR|3VULN|1LIT|1DMG|2CDMG|1ASPD	1DMG|26CDMG|3MBVNT|4AART|56aVULN|6BPWR|7LIT|8RCR|9ASPD
209	13314 35263	   	262.39	ACR|2LIT|2VULN|1MLV|1DMG|2CDMG	1DMG|2RCR|3AART|46CDMG|56VULN|6BPWR|7MLV|8aLIT|9ERES
210	14423 41843	   	262.36	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2MBVNT|36VULN|4LIT|5ASPD|7CDMG|8MLV|9FEWX|aRCR
211	14423 41863	   	262.36	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2MBVNT|36VULN|4LIT|5ASPD|7CDMG|8MLV|9LWND|aRCR
212	24423 41843	   	262.36	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|36VULN|4LIT|5DMG|7CDMG|8MLV|9FEWX|aRCR
213	24423 41863	   	262.36	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|36VULN|4LIT|5DMG|7CDMG|8MLV|9LWND|aRCR
214	14423 13373	   	262.36	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DMG|2MBVNT|39VULN|4LIT|5ASPD|6FEWX|7CDMG|8MLV|aRCR
215	24423 13373	   	262.36	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2MBVNT|39VULN|4LIT|5DMG|6FEWX|7CDMG|8MLV|aRCR
216	62451 13233	   	262.35	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1BASICY|2LIT|35VULN|4LHND|6FLTARM|7DUST|8MLV|9CDMG|aRCR
217	62461 13233	   	262.35	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1BASICY|2LIT|35VULN|4LWND|6FLTARM|7DUST|8MLV|9CDMG|aRCR
218	23314 31625	   	262.28	ACR|3VULN|1LIT|1MLV|2CDMG|1ASPD	1ASPD|2RCR|3AART|46CDMG|569VULN|6BPWR|7LIT|8ZMB|aMLV
219	14423 41873	   	262.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD|1DUR	1DMG|2MBVNT|36VULN|4LIT|5ASPD|7CDMG|8MLV|9DUR|aRCR
220	24423 41873	   	262.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2MBVNT|36VULN|4LIT|5DMG|7CDMG|8MLV|9DUR|aRCR
221	22166 31513	 * 	261.96	ACR|3LIT|3VULN|3ASPD|2DUR	189ASPD|2aDUR|39aLIT|4DUST|5RCR|6CGEN|79aVULN|9aBPWR
222	13314 35222	   	261.76	ACR|3VULN|1LIT|1MLV|1DMG|2CDMG	1DMG|2RCR|3AART|46CDMG|569VULN|6BPWR|7MLV|8LIT|aTLV
223	13314 35224	   	261.76	ACR|3VULN|1LIT|1MLV|2CDMG|1DMG	1DMG|2RCR|3AART|46CDMG|569VULN|6BPWR|7MLV|8LIT|aDMSP
224	13314 35225	   	261.76	ACR|3VULN|1LIT|1MLV|1DMG|2CDMG	1DMG|2RCR|3AART|46CDMG|569VULN|6BPWR|7MLV|8LIT|aRMIN
225	13314 35221	   	261.66	ACR|3VULN|1LIT|1MLV|2CDMG|1DMG	1DMG|2RCR|3AART|46CDMG|569VULN|6BPWR|7MLV|8LIT|aDLOT
226	13314 35223	   	261.66	ACR|3VULN|1LIT|1MLV|2CDMG|1DMG|1DUR	1DMG|2RCR|3AART|46CDMG|569VULN|6BPWR|7MLV|8LIT|aDUR
227	61211 15622	 * 	261.64	ACR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|4LHND|5aLIT|6DMG|7CDMG|89VULN
228	61231 12322	   	261.64	ACR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|49VULN|5aLIT|6DMG|7LHND|8CDMG
229	61231 14322	   	261.64	ACR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|49VULN|5aLIT|6DMG|7LWND|8CDMG
230	61231 15612	   	261.64	ACR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|48VULN|5aLIT|6DMG|7CDMG|9LHND
231	61231 15622	   	261.64	ACR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|48VULN|5aLIT|6DMG|7CDMG|9LWND
232	14421 52427	   	261.62	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2MBVNT|389VULN|47LIT|5FEWX|6CDMG|aRCR
233	14423 46238	   	261.62	DCR|2LIT|3VULN|1DMG|1ASPD	1DMG|2MBVNT|369VULN|47LIT|5ASPD|8BELT|aRCR
234	14428 32427	   	261.62	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2MBVNT|369VULN|45LIT|7FEWX|8CDMG|aRCR
235	16234 25427	   	261.62	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|46LIT|589VULN|7BEXP|aRCR
236	16234 82427	   	261.62	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|47LIT|589VULN|6BEXP|aRCR
237	24423 46238	   	261.62	DCR|2LIT|3VULN|1DMG|1ASPD	1ASPD|2MBVNT|369VULN|47LIT|5DMG|8BELT|aRCR
238	14423 21747	   	261.62	DCR|2LIT|3VULN|1DMG|1ASPD	1DMG|2MBVNT|378VULN|49LIT|5ASPD|6LHND|aRCR
239	24423 21747	   	261.62	DCR|2LIT|3VULN|1DMG|1ASPD	1ASPD|2MBVNT|378VULN|49LIT|5DMG|6LHND|aRCR
240	61231 16612	   	261.54	ACR|2LIT|2VULN|1FLTARM|1DMG|1ASPD	1BASICY|2RCR|3FLTARM|49VULN|58LIT|6DMG|7ERES|aASPD
241	61231 33432	   	261.54	ACR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7DUST|8CDMG|aDMG
242	14428 33427	   	261.52	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2MBVNT|369VULN|45LIT|7DUST|8CDMG|aRCR
243	16234 72427	   	261.52	DCR|2LIT|3VULN|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|47LIT|589VULN|6DUST|aRCR
244	14421 81252	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|2MBVNT|37VULN|4aLIT|5FEWX|6ERES|8RCR|9MLV
245	14428 22613	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|2MBVNT|39VULN|45LIT|6ERES|7AART|8RCR|aMLV
246	14428 23251	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|2MBVNT|3aVULN|45LIT|6ERES|7FEWX|8RCR|9MLV
247	14473 21252	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DMG|2MBVNT|37VULN|4ERES|5LWND|6aLIT|8RCR|9MLV
248	23326 15226	   	261.39	ACR|3VULN|1LIT|1MLV|2ASPD|1CDMG	14ASPD|2RCR|3AART|5CDMG|69aVULN|7MLV|8LIT
249	14133 41252	   	261.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|2MBVNT|3aLIT|4ERES|5DUR|67VULN|8RCR|9MLV
250	14424 81252	   	261.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DMG|2MBVNT|37VULN|4aLIT|5DUR|6ERES|8RCR|9MLV
251	44173 41211	   	261.31	DCR|2LIT|3VULN|1AART|1ASPD	19ERES|2MBVNT|39LIT|4DUST|5ASPD|679VULN|8RCR|9BPWR|aAART
252	14142 34721	   	261.28	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1DMG|2MBVNT|36LIT|4CGEN|59VULN|7SELL|8RCR|aMLV
253	14422 34721	   	261.28	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	1DMG|2MBVNT|39VULN|46LIT|5CGEN|7SELL|8RCR|aMLV
254	43222 31615	   	261.17	ACR|2LIT|2FLTARM|1VULN|1MLV|2ZMB	19ERES|24ZMB|3RCR|59FLTARM|6DUST|7VULN|89LIT|9BPWR|aMLV
255	61261 31324	   	261.11	ACR|2LIT|1FLTARM|1VULN|1MLV|1ASPD|1CDMG	1BASICY|2RCR|3FLTARM|4CGEN|59LIT|6ASPD|7MLV|8VULN|aCDMG
256	26233 35244	 * 	261.06	DCR|1LIT|2VULN|1MLV|2ASPD|2CDMG	18ASPD|28CDMG|3MBVNT|4LIT|5CANTOX|68VULN|7LEGI|8BPWR|9MLV|aRCR
257	16331 13325	   	261.04	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	15DMG|2CDMG|3LHND|4LIT|6RCR|7CGEN|8MLV|9VULN|aASPD
258	61231 26124	   	261.01	ACR|2LIT|1FLTARM|1VULN|1MLV|1ASPD|1CDMG	1BASICY|2RCR|3FLTARM|4VULN|59LIT|6ASPD|7ERES|8MLV|aCDMG
259	16131 13325	   	260.94	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD|1DUR	15DMG|2CDMG|3DUR|4LIT|6RCR|7CGEN|8MLV|9VULN|aASPD
260	16131 16313	   	260.94	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD|1DUR	15DMG|2CDMG|3DUR|4LIT|6RCR|7ASPD|8RCVC|9MLV|aVULN
261	14822 33713	   	260.92	DCR|3LIT|2VULN|2DMG	19DMG|2MBVNT|3LWND|469LIT|5CGEN|7FEWX|89VULN|9BPWR|aRCR
262	14423 11258	   	260.87	DCR|2LIT|2VULN|2DMG|1ASPD	1aDMG|2MBVNT|37VULN|4aLIT|5ASPD|6FEWX|8RCR|9aTLV|aBPWR
263	14423 44258	   	260.87	DCR|2LIT|2VULN|2DMG|1ASPD	1aDMG|2MBVNT|36VULN|4aLIT|5ASPD|7BEXP|8RCR|9aTLV|aBPWR
264	16131 16413	   	260.84	DCR|1LIT|2DMG|1VULN|1MLV|2DUR|1CDMG|1ASPD	15DMG|2CDMG|38DUR|4LIT|6RCR|7ASPD|9MLV|aVULN
265	14421 81251	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	1DMG|2MBVNT|37aVULN|4LIT|5FEWX|6ERES|8RCR|9MLV
266	14473 21251	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	1DMG|2MBVNT|37aVULN|4ERES|5LWND|6LIT|8RCR|9MLV
267	14142 31725	   	260.67	DCR|2LIT|2VULN|2DMG|1CDMG	1aDMG|2MBVNT|36LIT|4CGEN|59VULN|7CDMG|8RCR
268	14422 31725	   	260.67	DCR|2LIT|2VULN|2DMG|1CDMG	1aDMG|2MBVNT|39VULN|46LIT|5CGEN|7CDMG|8RCR
269	16234 24725	   	260.67	DCR|2LIT|2VULN|2DMG|1CDMG	1aDMG|2CDMG|3MBVNT|46LIT|59VULN|7CGEN|8RCR
270	14133 41251	   	260.60	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DMG|2MBVNT|3LIT|4ERES|5DUR|67aVULN|8RCR|9MLV
271	14424 81251	   	260.60	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DMG|2MBVNT|37aVULN|4LIT|5DUR|6ERES|8RCR|9MLV
272	14418 24721	   	260.55	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1DMG|2MBVNT|359VULN|4CGEN|6LIT|7SELL|8RCR|aMLV
