0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22344 33225	6	 * 	272.40	橙2易伤2伤害2时间1等级2暴击	1低血量敌人29伤害35易伤4雷电69时间7等级89暴击9序列升级a核
225	22342 21426	5	   	247.52	橙3易伤2等级1伤害	18低血量敌人2伤害378易伤4雷电5掉矿68等级8序列升级9核a双倍物品
226	22342 23422	5	   	247.52	橙3易伤3等级1伤害	18低血量敌人2伤害38a易伤4雷电5掉矿678等级8序列升级9核
227	24412 31252	9	   	247.35	橙4易伤3时间	1低血量敌人2345易伤69a时间7核8雷电
228	24412 31333	9	   	247.35	橙4易伤3时间	1低血量敌人2345易伤689时间7核a攻速
229	24412 31362	8	   	247.35	橙4易伤3时间	1低血量敌人2345易伤68a时间7核9雷电
230	24412 21221	9	   	247.10	橙4易伤1等级1时间1全技能	1低血量敌人2345易伤6等级7全技能8敌人爆炸9时间a核
231	24412 21251	7	   	247.10	橙4易伤1等级1时间1全技能	1低血量敌人2345易伤6等级7全技能8时间9最后敌人a核
232	24412 21421	9	   	247.00	橙4易伤1等级1时间1全技能	1低血量敌人2345易伤6等级7全技能8挖尘9时间a核
233	32316 21122	2	 * 	246.81	橙2易伤3伤害3时间	146基地爆炸29a伤害3掉矿56a时间6a序列升级7a易伤8核
234	35316 21122	1	   	246.81	橙2易伤3伤害3时间	146基地爆炸29a伤害3掉矿56a时间6a序列升级7a易伤8核
235	22316 34522	5	   	246.49	橙4易伤2伤害1暴击	159低血量敌人29伤害3489易伤6核7平台9序列升级a暴击
236	22316 34522	4	   	246.49	橙4易伤2伤害1暴击	159低血量敌人29伤害3489易伤6核7平台9序列升级a暴击
237	22334 33632	7	 * 	246.42	橙2等级3时间1易伤2伤害	1a低血量敌人2a伤害3易伤4掉矿589时间6a等级7核a序列升级
238	22311 54225	6	   	246.20	橙2易伤2伤害2时间2暴击	1低血量敌人29伤害34易伤5矿等69时间7雷电89暴击9序列升级a核
239	24412 31222	10	   	246.19	橙5易伤1时间	1低血量敌人2345a易伤6时间7核8雷电9攻速
240	34412 31222	10	   	246.19	橙5易伤1时间	1基地爆炸2345a易伤6时间7核8雷电9攻速
241	22313 23455	9	   	246.11	橙3易伤1等级1伤害1时间1全技能	1低血量敌人2伤害346易伤5最后敌人7核8时间9全技能a等级
242	22344 31225	7	   	246.10	橙2易伤2伤害2时间2暴击	1低血量敌人29伤害35易伤4雷电69时间7掉矿89暴击9序列升级a核
243	22312 33461	7	   	246.10	橙3易伤2伤害1等级	1低血量敌人28伤害349易伤5随机矿6等级7核a攻速
244	22313 13162	8	   	246.08	橙4易伤2时间1伤害	1a低血量敌人2伤害348a易伤5最后敌人6金币生成7核9a时间a序列升级
245	22313 13462	7	   	246.08	橙4易伤2时间1伤害	1a低血量敌人2伤害348a易伤5最后敌人6金币生成7核9a时间a序列升级
246	22313 25322	9	   	246.08	橙4易伤2时间1伤害	1a低血量敌人2伤害346a易伤5最后敌人7矿等8a时间9核a序列升级
247	24411 53122	10	   	246.08	橙4易伤2时间1伤害	17低血量敌人2348易伤57最后敌人67时间7序列升级9伤害a核
248	24414 13122	10	   	246.08	橙4易伤2时间1伤害	17低血量敌人2348易伤57敌人爆炸67时间7序列升级9伤害a核
249	34411 13122	10	   	246.08	橙4易伤2时间1伤害	17基地爆炸2348易伤57最后敌人67时间7序列升级9伤害a核
250	34414 13122	10	   	246.08	橙4易伤2时间1伤害	17基地爆炸2348易伤57敌人爆炸67时间7序列升级9伤害a核
251	21434 53122	10	   	246.08	橙4易伤2时间1伤害	17低血量敌人2最后敌人3478易伤5立即金币67时间7序列升级9伤害a核
252	21436 53122	10	   	246.08	橙4易伤2时间1伤害	17低血量敌人25最后敌人3478易伤67时间7序列升级9伤害a核
253	26433 13122	10	   	246.08	橙4易伤2时间1伤害	17低血量敌人25敌人爆炸3478易伤67时间7序列升级9伤害a核
254	26434 13122	10	   	246.08	橙4易伤2时间1伤害	17低血量敌人26敌人爆炸3478易伤57时间7序列升级9伤害a核
255	26434 23122	10	   	246.08	橙4易伤2时间1伤害	17低血量敌人2敌人爆炸3478易伤57时间6立即金币7序列升级9伤害a核
256	56433 13122	10	   	246.08	橙4易伤2时间1伤害	17最后敌人25敌人爆炸3478易伤67时间7序列升级9伤害a核
257	24115 32531	4	   	246.00	橙3易伤2伤害1等级	1低血量敌人245易伤3掉矿6核7等级89伤害a攻速
258	24413 32531	4	   	246.00	橙3易伤2伤害1等级	1低血量敌人234易伤5掉矿6核7等级89伤害a攻速
259	24423 32531	3	   	246.00	橙3易伤2伤害1等级	1低血量敌人234易伤5掉矿6核7等级89伤害a攻速
260	34115 23231	4	   	246.00	橙3易伤2伤害1等级	1基地爆炸245易伤3掉矿6等级79伤害8核a攻速
261	34115 32531	4	   	246.00	橙3易伤2伤害1等级	1基地爆炸245易伤3掉矿6核7等级89伤害a攻速
262	34413 23231	4	   	246.00	橙3易伤2伤害1等级	1基地爆炸234易伤5掉矿6等级79伤害8核a攻速
263	34413 32531	4	   	246.00	橙3易伤2伤害1等级	1基地爆炸234易伤5掉矿6核7等级89伤害a攻速
264	22122 11646	2	   	246.00	橙3易伤2伤害1等级	1低血量敌人28伤害3等级469易伤5雷电7赏金邻近a核
265	22312 11646	4	   	246.00	橙3易伤2伤害1等级	1低血量敌人28伤害349易伤5雷电6等级7赏金邻近a核
266	22313 23362	8	   	245.98	橙4易伤2时间1伤害	1a低血量敌人2伤害346a易伤5最后敌人7核8掉矿9a时间a序列升级
267	24412 31316	9	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9随机矿a伤害
268	24412 31321	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a金币生成
269	24412 31322	9	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a平台
270	24412 31322	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a随机矿
271	24412 31323	9	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a基地爆炸
272	24412 31325	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a额外掉落
273	24412 31336	8	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9金币生成a伤害
274	24412 31343	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9金币生成a伤害
275	24412 31353	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9基地爆炸a伤害
276	24412 31363	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9敌人爆炸a伤害
277	24412 32322	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7基地爆炸9伤害a核
278	24412 33242	6	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤6a时间7伤害8核9最后敌人
279	24412 33252	6	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤69时间7伤害8核a平台
280	24412 33253	6	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤69时间7伤害8核a基地爆炸
281	24412 33612	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤67时间8伤害9最后敌人a核
282	22313 23462	9	   	245.88	橙4易伤2时间1伤害	1低血量敌人2伤害3469易伤5最后敌人7核8a时间
283	24411 23322	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2346易伤5最后敌人78时间9伤害a核
284	24412 23252	5	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤6基地爆炸7伤害8核9a时间
285	24412 43322	10	   	245.88	橙4易伤2时间1伤害	1低血量敌人2345易伤6敌人爆炸78时间9伤害a核
286	24512 31133	10	   	245.88	橙4易伤2时间1伤害	13低血量敌人2458易伤69时间7核a伤害
287	34412 13252	5	   	245.88	橙4易伤2时间1伤害	1基地爆炸2345易伤6低血量敌人7伤害8核9a时间
288	54411 31133	10	   	245.88	橙4易伤2时间1伤害	15最后敌人2348易伤69时间7核a伤害
289	54413 23322	10	   	245.88	橙4易伤2时间1伤害	1最后敌人2346易伤5低血量敌人78时间9伤害a核
290	22313 23415	9	   	245.88	橙4易伤2时间1伤害	1低血量敌人2伤害346a易伤5最后敌人7核89时间
291	22313 23435	8	   	245.88	橙4易伤2时间1伤害	1低血量敌人2伤害346a易伤5最后敌人7核89时间
292	24412 31324	9	   	245.78	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a赏金邻近
293	24412 31325	9	   	245.78	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a掉矿
294	24412 31326	10	   	245.78	橙4易伤2时间1伤害	1低血量敌人2345易伤68时间7核9伤害a挖尘
295	24412 33522	10	   	245.78	橙4易伤2时间1伤害	1低血量敌人2345易伤67时间8挖尘9伤害a核
296	24412 33622	10	   	245.78	橙4易伤2时间1伤害	1低血量敌人2345易伤67时间8伤害9挖尘a核
297	24412 53322	10	   	245.78	橙4易伤2时间1伤害	1低血量敌人2345易伤6挖尘78时间9伤害a核
298	34412 33622	10	   	245.78	橙4易伤2时间1伤害	1基地爆炸2345易伤68时间7挖尘9伤害a核
299	24412 31422	9	   	245.75	橙4易伤1等级1时间	1a低血量敌人2345易伤6时间7核8等级9雷电
300	24412 31422	8	   	245.75	橙4易伤1等级1时间	1a低血量敌人2345易伤6时间7核8等级9雷电
301	24412 31423	9	   	245.75	橙4易伤1等级1时间	1低血量敌人2345易伤6时间7核8等级9雷电a立即金币
302	24412 31423	8	   	245.75	橙4易伤1等级1时间	1低血量敌人2345易伤6时间7核8等级9雷电a立即金币
303	24412 31431	9	   	245.75	橙4易伤1等级1时间	1低血量敌人2345易伤6时间7核8等级9立即金币a攻速
304	24413 26122	9	   	245.75	橙4易伤1等级1时间	1低血量敌人2348易伤5随机矿6核7雷电9等级a时间
305	24413 26212	9	   	245.75	橙4易伤1等级1时间	1低血量敌人2349易伤5随机矿6核7雷电8等级a时间
306	24413 61212	9	   	245.75	橙4易伤1等级1时间	1低血量敌人2349易伤5随机矿6等级7核8雷电a时间
307	34412 31422	9	   	245.75	橙4易伤1等级1时间	1基地爆炸2345易伤6时间7核8等级9雷电a低血量敌人
308	34412 31422	8	   	245.75	橙4易伤1等级1时间	1基地爆炸2345易伤6时间7核8等级9雷电a低血量敌人
309	34413 26122	9	   	245.75	橙4易伤1等级1时间	1基地爆炸2348易伤5随机矿6核7雷电9等级a时间
310	34413 26212	9	   	245.75	橙4易伤1等级1时间	1基地爆炸2349易伤5随机矿6核7雷电8等级a时间
311	24411 21423	10	   	245.75	橙4易伤1等级1时间	1低血量敌人2346易伤5最后敌人7核8等级9雷电a时间
312	34412 24312	10	   	245.75	橙4易伤1等级1时间	1基地爆炸2345易伤6攻速7等级8时间9随机矿a核
313	24412 31421	8	   	245.65	橙4易伤1等级1时间	1低血量敌人2345易伤6时间7核8等级9雷电a掉矿
314	24412 31421	9	   	245.65	橙4易伤1等级1时间	1低血量敌人2345易伤6时间7核8等级9雷电a掉矿
315	24412 31422	10	   	245.65	橙4易伤1等级1时间1核弹	1低血量敌人2345易伤6时间7核8等级9雷电a核弹
316	34412 31421	8	   	245.65	橙4易伤1等级1时间	1基地爆炸2345易伤6时间7核8等级9雷电a掉矿
317	34412 31421	9	   	245.65	橙4易伤1等级1时间	1基地爆炸2345易伤6时间7核8等级9雷电a掉矿
318	34412 31422	10	   	245.65	橙4易伤1等级1时间1核弹	1基地爆炸2345易伤6时间7核8等级9雷电a核弹
319	34412 31423	9	   	245.65	橙4易伤1等级1时间1核弹	1基地爆炸2345易伤6时间7核8等级9雷电a核弹
320	34412 31423	8	   	245.65	橙4易伤1等级1时间1核弹	1基地爆炸2345易伤6时间7核8等级9雷电a核弹
321	24115 32162	4	   	245.65	橙4易伤1等级1时间	1低血量敌人2458易伤3掉矿6核7等级9雷电a时间
322	24413 32162	4	   	245.65	橙4易伤1等级1时间	1低血量敌人2348易伤5掉矿6核7等级9雷电a时间
323	24423 32162	3	   	245.65	橙4易伤1等级1时间	1低血量敌人2348易伤5掉矿6核7等级9雷电a时间
324	22141 34325	3	   	245.59	橙2易伤2等级1伤害1时间2雷电1卖塔	19低血量敌人2伤害3卖塔49等级57易伤6时间89雷电9序列升级a核
325	22162 63325	8	   	245.59	橙2易伤2等级1伤害1时间2雷电1卖塔	19低血量敌人2伤害3卖塔49雷电5时间67等级89易伤9序列升级a核
326	22163 23325	8	   	245.59	橙2易伤2等级1伤害1时间2雷电1卖塔	19低血量敌人2伤害3卖塔49雷电57等级6时间89易伤9序列升级a核
327	22334 33412	7	   	245.46	橙2易伤2等级2时间1伤害	18低血量敌人2伤害38易伤4掉矿5a时间68等级7核8序列升级9立即金币
328	22334 33433	7	   	245.46	橙2易伤2等级2时间1伤害	18低血量敌人2伤害38易伤4掉矿59时间68等级7核8序列升级a额外掉落
329	22334 33434	7	   	245.46	橙2易伤2等级2时间1伤害	18低血量敌人2伤害38易伤4掉矿59时间68等级7核8序列升级a基地爆炸
330	22334 33436	7	   	245.46	橙2易伤2等级2时间1伤害	18a低血量敌人2伤害38易伤4掉矿59时间68等级7核8序列升级
331	22215 53123	9	   	245.46	橙2易伤2等级2时间1伤害	137低血量敌人2伤害4挖青57等级67时间7序列升级8a易伤9核
332	22515 53123	9	   	245.46	橙2易伤2等级2时间1伤害	17低血量敌人2伤害3立即金币4挖青57等级67时间7序列升级8a易伤9核
333	22334 33431	7	   	245.36	橙2易伤2等级2时间1伤害	18低血量敌人2伤害38易伤4掉矿59时间68等级7核8序列升级a赏金邻近
334	22334 33442	7	   	245.36	橙2易伤2等级2时间1伤害	18低血量敌人2伤害38易伤49掉矿5a时间68等级7核8序列升级
335	26132 11535	1	   	245.36	橙2易伤2等级2时间1伤害	1低血量敌人23等级49时间5a易伤6核7矿等8伤害
336	26132 12413	1	   	245.26	橙2易伤2等级2时间1伤害	1低血量敌人23等级47时间5a易伤6核8伤害9挖尘
337	36132 12413	1	   	245.26	橙2易伤2等级2时间1伤害	1基地爆炸23等级47时间5a易伤6核8伤害9挖尘
338	36132 12433	1	   	245.26	橙2易伤2等级2时间1伤害	1基地爆炸23等级47时间5a易伤6核8伤害9挖青
339	56132 12413	1	   	245.26	橙2易伤2等级2时间1伤害	1最后敌人23等级47时间5a易伤6核8伤害9挖尘
340	22334 24221	5	 * 	245.22	橙3伤害3时间1易伤2暴击	1低血量敌人269伤害3易伤4掉矿569时间69序列升级7雷电89暴击a核
341	34412 35333	9	   	244.95	橙4易伤1伤害1时间1暴击	1基地爆炸2345易伤6时间7暴击8伤害9核a低血量敌人
342	22311 25366	9	   	244.95	橙4易伤1伤害1时间1暴击	1低血量敌人2伤害3469易伤5矿等7暴击8时间a核
343	22311 43166	9	   	244.95	橙4易伤1伤害1时间1暴击	1低血量敌人2伤害3489易伤5矿等6暴击7时间a核
344	22312 43166	9	   	244.95	橙4易伤1伤害1时间1暴击	1低血量敌人2伤害3489易伤5随机矿6暴击7时间a核
345	34412 35332	10	   	244.85	橙4易伤1伤害1时间1暴击	1基地爆炸2345易伤6时间7暴击8伤害9核a掉矿
346	22122 56135	2	   	244.76	橙3易伤1等级1伤害1时间	19低血量敌人2伤害3等级48a易伤5雷电6时间7核
347	22313 26251	9	   	244.76	橙3易伤1等级1伤害1时间	1低血量敌人2伤害346易伤5最后敌人7雷电8等级9核a时间
348	34412 35331	10	   	244.71	橙4易伤1伤害1时间1暴击1卖塔	1基地爆炸2345易伤6时间7暴击8伤害9核a卖塔
349	24434 23122	8	 * 	244.70	紫4易伤3时间2伤害	17a低血量敌人237a易伤4核567时间7a序列升级8a伤害9赏金邻近
350	22122 56143	2	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人2伤害3等级48a易伤5雷电6时间7核9挖尘
351	22344 13251	9	   	244.66	橙3易伤1等级1伤害1时间	1低血量敌人2伤害356易伤4雷电7挖尘8等级9核a时间
352	24512 31411	9	   	244.62	橙3易伤2时间1等级1暴击	13低血量敌人245易伤6a时间7核8等级9暴击
353	24412 21523	9	   	244.50	橙4易伤1等级1暴击1全技能	18低血量敌人2345易伤6等级7全技能9暴击a核
354	25423 22222	9	   	244.50	橙3易伤3时间1等级	178a低血量敌人2挖青37a易伤4等级5策反67a时间7a序列升级9核
355	25423 22522	9	   	244.50	橙3易伤3时间1等级	17a低血量敌人2挖青37a易伤4等级5策反67a时间7a序列升级8立即金币9核
356	24412 31126	9	   	244.36	橙5易伤2时间	1a低血量敌人23458易伤6a时间7核9a金币生成a序列升级
357	24412 31136	9	   	244.36	橙5易伤2时间	1a低血量敌人23458易伤6a时间7核9a策反a序列升级
358	34412 31126	9	   	244.36	橙5易伤2时间	1a基地爆炸23458易伤6a时间7核9a金币生成a序列升级
359	34412 31136	9	   	244.36	橙5易伤2时间	1a基地爆炸23458易伤6a时间7核9a策反a序列升级
360	32315 13122	9	   	244.33	橙2易伤2伤害2时间1等级	17a基地爆炸27伤害3立即金币4a低血量敌人5等级67时间7a序列升级8a易伤9核
361	31316 13432	10	   	244.20	橙3易伤3时间1等级	1基地爆炸2最后敌人3等级46a易伤578时间9核
362	31426 13432	10	   	244.20	橙3易伤3时间1等级	1基地爆炸2最后敌人36a易伤4等级578时间9核
363	31434 33432	10	   	244.20	橙3易伤3时间1等级	1基地爆炸2最后敌人34a易伤578时间6等级9核
364	24512 31335	10	   	244.20	橙3易伤3时间1等级	13低血量敌人245易伤689时间7核a等级
365	24412 31115	8	   	244.16	橙5易伤2时间	1低血量敌人23458易伤6a时间7核9敌人爆炸
366	24412 31115	7	   	244.16	橙5易伤2时间	1低血量敌人23458易伤6a时间7核9敌人爆炸
367	24412 31116	9	   	244.16	橙5易伤2时间	1a低血量敌人23458易伤6a时间7核9a掉矿a序列升级
368	24412 31131	8	   	244.16	橙5易伤2时间	1低血量敌人23458易伤69时间7核a基地爆炸
369	24412 31131	7	   	244.16	橙5易伤2时间	1低血量敌人23458易伤69时间7核a基地爆炸
370	24412 31134	7	   	244.16	橙5易伤2时间	1低血量敌人23458易伤69时间7核a敌人爆炸
371	24412 31134	8	   	244.16	橙5易伤2时间	1低血量敌人23458易伤69时间7核a敌人爆炸
372	24412 31136	8	   	244.16	橙5易伤2时间	1低血量敌人23458易伤69时间7核a策反
373	24412 31136	7	   	244.16	橙5易伤2时间	1低血量敌人23458易伤69时间7核a策反
374	24412 31321	8	   	244.16	橙5易伤2时间	1低血量敌人23459易伤68时间7核a基地爆炸
375	24412 31324	8	   	244.16	橙5易伤2时间	1低血量敌人23459易伤68时间7核a敌人爆炸
376	24412 31326	8	   	244.16	橙5易伤2时间	1低血量敌人23459易伤68时间7核a策反
377	24412 31621	7	   	244.16	橙5易伤2时间	1低血量敌人23459易伤68时间7核a基地爆炸
378	34412 31115	7	   	244.16	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9敌人爆炸
379	34412 31115	8	   	244.16	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9敌人爆炸
380	34412 31116	9	   	244.16	橙5易伤2时间	1a基地爆炸23458易伤6a时间7核9a掉矿a序列升级
381	34412 31121	9	   	244.16	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9金币生成
382	34412 31131	7	   	244.16	橙5易伤2时间	1基地爆炸23458易伤69时间7核a敌人爆炸
383	34412 31131	8	   	244.16	橙5易伤2时间	1基地爆炸23458易伤69时间7核a敌人爆炸
384	34412 31131	9	   	244.16	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9策反
385	34412 31136	7	   	244.16	橙5易伤2时间	1基地爆炸23458易伤69时间7核a策反
386	34412 31136	8	   	244.16	橙5易伤2时间	1基地爆炸23458易伤69时间7核a策反
387	34412 31151	9	   	244.16	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9矿等
388	34412 31161	7	   	244.16	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9金币生成
389	34412 31161	8	   	244.16	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9金币生成
390	34412 31325	7	   	244.16	橙5易伤2时间	18基地爆炸23459易伤6a时间7核
391	34412 31621	7	   	244.16	橙5易伤2时间	1基地爆炸23459易伤68时间7核a敌人爆炸
392	24512 31125	7	   	244.16	橙5易伤2时间	13低血量敌人24589易伤6a时间7核
393	24512 31125	8	   	244.16	橙5易伤2时间	13低血量敌人24589易伤6a时间7核
394	22162 61325	8	   	244.16	橙2易伤2伤害1等级1时间2雷电1卖塔	19低血量敌人27伤害3卖塔49雷电5时间6等级89易伤9序列升级a核
395	22163 21325	8	   	244.16	橙2易伤2伤害1等级1时间2雷电1卖塔	19低血量敌人27伤害3卖塔49雷电5等级6时间89易伤9序列升级a核
396	22121 31322	2	   	244.13	橙2易伤2伤害2时间1等级	1低血量敌人2a伤害3等级49易伤5a敌人爆炸6核7基地爆炸8a时间a序列升级
397	22121 34322	2	   	244.13	橙2易伤2伤害2时间1等级	1低血量敌人2a伤害3等级49易伤5a敌人爆炸6核7最后敌人8a时间a序列升级
398	22341 31322	3	   	244.13	橙2易伤2伤害2时间1等级	1低血量敌人2a伤害39易伤4等级5a敌人爆炸6核7基地爆炸8a时间a序列升级
399	22341 34322	3	   	244.13	橙2易伤2伤害2时间1等级	1低血量敌人2a伤害39易伤4等级5a敌人爆炸6核7最后敌人8a时间a序列升级
400	25121 31322	1	   	244.13	橙2易伤2伤害2时间1等级	1低血量敌人2a伤害3等级49易伤5a敌人爆炸6核7基地爆炸8a时间a序列升级
401	25121 34322	1	   	244.13	橙2易伤2伤害2时间1等级	1低血量敌人2a伤害3等级49易伤5a敌人爆炸6核7最后敌人8a时间a序列升级
402	55121 31322	1	   	244.13	橙2易伤2伤害2时间1等级	1最后敌人2a伤害3等级49易伤5a敌人爆炸6核7基地爆炸8a时间a序列升级
403	24363 12342	2	   	244.13	橙2易伤2伤害2时间1等级	1低血量敌人2a易伤3基地爆炸4等级5双倍矿6核7a时间8敌人爆炸9a伤害a序列升级
404	31336 13342	5	   	244.13	橙2易伤2伤害2时间1等级	1基地爆炸2a最后敌人3等级45时间6核7a易伤8敌人爆炸9a伤害a序列升级
405	32315 13123	9	   	244.13	橙2易伤2伤害2时间1等级	17基地爆炸27伤害3立即金币4低血量敌人5等级67时间7序列升级8a易伤9核
406	34363 12342	2	   	244.13	橙2易伤2伤害2时间1等级	1基地爆炸2a易伤3低血量敌人4等级5双倍矿6核7a时间8敌人爆炸9a伤害a序列升级
407	34523 12342	4	   	244.13	橙2易伤2伤害2时间1等级	1基地爆炸2a易伤3低血量敌人4等级5双倍矿6核7a时间8敌人爆炸9a伤害a序列升级
408	34412 31111	9	   	244.06	橙5易伤2时间	1基地爆炸23458易伤6a时间7核9掉矿
409	34412 31225	7	   	244.06	橙5易伤2时间	1基地爆炸23459易伤6a时间7核8挖尘
410	22312 33432	9	   	243.93	橙2易伤2伤害2时间1等级	1低血量敌人29伤害34易伤5随机矿6等级7核8a时间
411	22312 33452	7	   	243.93	橙2易伤2伤害2时间1等级	1低血量敌人28伤害34易伤5随机矿6等级7核9a时间
412	22334 33135	7	   	243.83	橙2易伤2伤害2时间1等级	1低血量敌人28伤害3a易伤4掉矿59时间6等级7核
413	24111 21422	3	   	243.81	橙3易伤2等级1时间	18低血量敌人278易伤3掉矿4雷电5随机矿68等级8序列升级9核a时间
414	24141 21422	4	   	243.81	橙3易伤2等级1时间	18低血量敌人278易伤3掉矿4雷电5随机矿68等级8序列升级9核a时间
415	34111 21422	3	   	243.81	橙3易伤2等级1时间	18基地爆炸278易伤3掉矿4雷电5随机矿68等级8序列升级9核a时间
416	34141 21422	4	   	243.81	橙3易伤2等级1时间	18基地爆炸278易伤3掉矿4雷电5随机矿68等级8序列升级9核a时间
417	34631 21422	3	   	243.81	橙3易伤2等级1时间	18基地爆炸278易伤3雷电4掉矿5随机矿68等级8序列升级9核a时间
418	54111 21422	3	   	243.81	橙3易伤2等级1时间	18最后敌人278易伤3掉矿4雷电5随机矿68等级8序列升级9核a时间
419	54131 21422	4	   	243.81	橙3易伤2等级1时间	18最后敌人278易伤3掉矿4雷电5随机矿68等级8序列升级9核a时间
420	26132 11345	1	   	243.71	橙3易伤2等级1时间	1低血量敌人23等级4时间58a易伤6核7矿等9攻速
421	22314 33635	9	   	243.52	橙4易伤1伤害2暴击	17低血量敌人2伤害347a易伤5平台67暴击7序列升级8核9攻速
422	22313 54151	10	   	243.51	橙3易伤1等级1伤害1暴击1全技能	1低血量敌人2伤害347易伤5最后敌人6暴击8等级9全技能a核
423	24412 31152	8	   	243.23	橙5易伤1时间1暴击	1低血量敌人23458易伤6时间7核9立即金币a暴击
424	24412 31152	7	   	243.23	橙5易伤1时间1暴击	1低血量敌人23458易伤6时间7核9立即金币a暴击
425	24412 31512	9	   	243.23	橙5易伤1时间1暴击	1低血量敌人2345a易伤6时间7核8随机矿9暴击
426	24412 31612	9	   	243.23	橙5易伤1时间1暴击	1低血量敌人2345a易伤6时间7核8策反9暴击
427	34412 31152	8	   	243.23	橙5易伤1时间1暴击	1基地爆炸23458易伤6时间7核9立即金币a暴击
428	34412 31152	7	   	243.23	橙5易伤1时间1暴击	1基地爆炸23458易伤6时间7核9立即金币a暴击
429	34412 31322	7	   	243.23	橙5易伤1时间1暴击	18基地爆炸23459易伤6时间7核a暴击
430	34412 31512	9	   	243.23	橙5易伤1时间1暴击	1基地爆炸2345a易伤6时间7核8随机矿9暴击
431	34412 31612	9	   	243.23	橙5易伤1时间1暴击	1基地爆炸2345a易伤6时间7核8策反9暴击
432	24512 31122	7	   	243.23	橙5易伤1时间1暴击	13低血量敌人24589易伤6时间7核a暴击
433	24512 31122	8	   	243.23	橙5易伤1时间1暴击	13低血量敌人24589易伤6时间7核a暴击
434	24512 32622	5	   	243.23	橙5易伤1时间1暴击	13低血量敌人24569易伤7核8时间a暴击
435	34412 14322	8	   	243.23	橙5易伤1时间1暴击	1基地爆炸23459易伤6双倍矿7核8时间a暴击
436	34452 31122	8	   	243.23	橙5易伤1时间1暴击	1基地爆炸23589易伤4双倍矿6时间7核a暴击
437	34452 31122	7	   	243.23	橙5易伤1时间1暴击	1基地爆炸23589易伤4双倍矿6时间7核a暴击
438	34462 31122	8	   	243.23	橙5易伤1时间1暴击	1基地爆炸23589易伤4立即金币6时间7核a暴击
439	34462 31122	7	   	243.23	橙5易伤1时间1暴击	1基地爆炸23589易伤4立即金币6时间7核a暴击
440	54411 31122	7	   	243.23	橙5易伤1时间1暴击	15最后敌人23489易伤6时间7核a暴击
441	54411 31122	8	   	243.23	橙5易伤1时间1暴击	15最后敌人23489易伤6时间7核a暴击
442	24411 21413	10	   	243.15	橙4易伤1等级1暴击	1低血量敌人2346易伤5最后敌人7核8等级9暴击a雷电
443	22334 33211	5	   	243.14	橙2易伤3伤害2时间1全技能	18低血量敌人289伤害3a易伤4掉矿58时间6核7全技能8序列升级
444	24412 11631	10	   	243.05	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a最后敌人
445	24412 11632	10	   	243.05	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a立即金币
446	24412 11632	9	   	243.05	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a最后敌人
447	24412 11632	8	   	243.05	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a最后敌人
448	24412 11633	10	   	243.05	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a额外掉落
449	24412 11633	9	   	243.05	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a金币生成
450	24412 11633	8	   	243.05	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a金币生成
451	24412 11631	9	   	242.95	橙5易伤1伤害1全技能	1低血量敌人23457易伤6全技能8伤害9核a赏金邻近
