0	Index      	 *	Score 	Summary	Detail	
1	11136 32163	 * 	215.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	19LWND|2ERES|39aVULN|4AART|5DMG|6ASPD|79DUR|8RCR|9BPWR
161	34532 26231	   	185.78	DCR|3VULN|1AART|1DMG|1DUR	136VULN|2DUR|4DMG|5FEWX|7BEXP|8LIT|9AART|aRCR
162	32231 21162	   	185.76	DCR|4VULN|2ASPD	168aVULN|2FEWX|34ASPD|5LHND|7LIT|9RCR
163	32233 21162	   	185.76	DCR|4VULN|2ASPD	168aVULN|2FEWX|34ASPD|5LWND|7LIT|9RCR
164	11136 36161	   	185.75	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	19LWND|29ERES|3VULN|4AART|5DMG|69ASPD|7LEGI|8RCR|9BPWR|aDUR
165	32621 31354	   	185.69	DCR|4VULN|1ASPD|1CDMG	1789VULN|2FEWX|3BEXP|4CANSTR|5ASPD|6CDMG|aRCR
166	34255 21231	   	185.68	DCR|3VULN|1AART|1ASPD|1DUR	156VULN|2DUR|3ASPD|4FEWX|7LIT|8DUST|9AART|aRCR
167	34255 23231	   	185.68	DCR|3VULN|1AART|1ASPD|1DUR	156VULN|2DUR|3ASPD|4FEWX|7DUST|8LIT|9AART|aRCR
168	34531 51231	   	185.68	DCR|3VULN|1AART|1DMG|1DUR	136VULN|2DUR|4DMG|5LHND|7LIT|8DUST|9AART|aRCR
169	34532 21231	   	185.68	DCR|3VULN|1AART|1DMG|1DUR	136VULN|2DUR|4DMG|5FEWX|7LIT|8DUST|9AART|aRCR
170	32242 31354	   	185.59	DCR|4VULN|1ASPD|1CDMG	1789VULN|2FEWX|3ASPD|4DUST|5BASARM|6CDMG|aRCR
171	35235 33334	   	185.57	DCR|3VULN|1AART|1CDMG|1DUR	139VULN|2RCVC|4CDMG|5AART|6FEWX|7DUR|8DUST|aRCR
