0	Index      	 *	Score 	Summary	Detail	
1	63224 12316	 * 	222.09	2SPLARM|2VULN|2AART|1MDPS|1ASPD|1DMG	19SPLARM|2LIT|39VULN|4DMG|5ASPD|68AART|79CGEN|9BPWR|aMDPS
172	33462 33235	   	193.68	DCR|3VULN|1AART|1DMG|1NUKE|1DUR	1NUKE|238VULN|4LWND|5AART|6RCR|7DMG|9FEWX|aDUR
173	33462 33251	   	193.68	DCR|3VULN|1AART|1DMG|1NUKE|1DUR	1NUKE|238VULN|4LWND|5AART|6RCR|7DMG|9DUR|aFEWX
174	33462 33253	   	193.68	DCR|3VULN|1AART|1DMG|1NUKE|1DUR	1NUKE|238VULN|4LWND|5AART|6RCR|7DMG|9DUR|aLHND
175	33462 33215	   	193.58	DCR|3VULN|1AART|1DMG|1NUKE|1DUR	1NUKE|238VULN|4LWND|5AART|6RCR|7DMG|9DUST|aDUR
176	33462 33225	   	193.58	DCR|3VULN|1AART|1DMG|1NUKE|1DUR	1NUKE|238VULN|4LWND|5AART|6RCR|7DMG|9LEGI|aDUR
177	33462 33252	   	193.58	DCR|3VULN|1AART|1DMG|1NUKE|1DUR|1MSE	1NUKE|238VULN|4LWND|5AART|6RCR|7DMG|9DUR|aMSE
178	22232 33225	   	193.53	DCR|2AART|1VULN|1DMG|1ASPD|1ZMB	1LWND|2ASPD|3ERES|4TLV|5aAART|6RCR|7DMG|8VULN|9ZMB
179	33542 33323	   	193.45	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1NUKE|1ZMB	1NUKE|28VULN|3DMG|48DUST|5MDPS|6AART|78CDMG|8BPWR|9ZMB|aRCR
180	43542 33323	   	193.45	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1AAC|1ZMB	1AAC|28VULN|3DMG|48DUST|5MDPS|6AART|78CDMG|8BPWR|9ZMB|aRCR
181	12113 23263	   	193.34	DCR|3VULN|2DMG|1ASPD	1CGEN|26DMG|3LHND|4LIT|578VULN|9RCR|aASPD
182	12422 66333	 * 	193.03	DCR|3VULN|3DMG	19CGEN|269DMG|3ERES|45aVULN|7RCR|89BEXP|9BPWR
183	26622 32363	   	192.41	DCR|3VULN|1AART|1ASPD	13LWND|2RMIN|49aVULN|5AART|6RCR|7FEWX|8ASPD
184	26622 33233	   	192.41	DCR|3VULN|1AART|1DMG	13LWND|2RMIN|48aVULN|5AART|6RCR|7DMG|9FEWX
185	26622 33363	   	192.41	DCR|3VULN|1AART|1DMG	13LWND|2RMIN|49aVULN|5AART|6RCR|7DMG|8FEWX
186	45241 21633	   	192.38	DCR|3VULN|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1AAC|2MBVNT|36aVULN|4DUR|5ZMB|7CDMG|8RCR|9ASPD
187	33223 24662	 * 	192.34	DCR|4VULN|1ASPD|1NUKE|3DUR	1NUKE|2679VULN|3ERES|479DUR|579LHND|79BPWR|8RCR|aASPD
188	12124 33231	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18CGEN|2DMG|3LHND|4DUR|5AART|6RCR|7CDMG|9aVULN
189	12124 33431	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DMG|38LHND|4DUR|5AART|6RCR|7CDMG|9aVULN
190	12154 31215	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DMG|3LHND|4aVULN|5AART|6RCR|7FEWX|8DUR|9CDMG
191	12554 33212	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18CGEN|2DMG|3DUR|4aVULN|5AART|6RCR|7CDMG|9MLV
192	12554 33233	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18CGEN|2DMG|3DUR|49VULN|5AART|6RCR|7CDMG|aLWND
193	61611 33314	 * 	192.11	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1SPLARM|2DUST|3TLV|4DMG|5BASARM|6AART|78VULN|9RCR|aCDMG
194	11554 33231	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	18CGEN|2AAC|3DUR|49VULN|5AART|6RCR|7CDMG|aDMG
195	12154 32215	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2DMG|3LHND|4aVULN|5AART|6RCR|7DUST|8DUR|9CDMG
