0	Index      	 *	Score 	Summary	Detail	
1	53221 11452	 * 	209.50	DCR|1SPLARM|2VULN|2DMG|1ASPD|1CDMG|1AAC	1AAC|25DMG|3RCVC|4CDMG|68VULN|7SPLARM|9RCR|aASPD
154	33262 12415	   	186.11	DCR|2VULN|2AART|1CDMG|1DUR	1DUST|2DUR|3AME|4aAART|58VULN|6BEXP|7RCR|9CDMG
155	22115 12154	   	186.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2aVULN|3DMSP|4DMG|5LIT|6DUR|7CDMG|8AART|9RCR
156	22542 12221	   	185.92	DCR|2VULN|2AART|1DMG|1DUR	1TLV|26VULN|3RPLT|4DUR|5LWND|7DMG|8aAART|9RCR
157	22542 16221	 * 	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1TLV|26VULN|3RPLT|4DUR|5LWND|7ASPD|8aAART|9RCR
158	22545 12221	   	185.92	DCR|2VULN|2AART|1DMG|1DUR	1TLV|26VULN|3RPLT|4DUR|5LHND|7DMG|8aAART|9RCR
159	13251 36533	 * 	185.75	DCR|2DMG|1VULN|2CDMG|1ASPD|1RMIN	17CDMG|2MLV|3RMIN|4DMSP|57DMG|67ERES|7BPWR|8VULN|9RCR|aASPD
160	13261 36533	   	185.75	DCR|2DMG|1VULN|2CDMG|1ASPD|1RMIN	17CDMG|24MLV|3RMIN|57DMG|67ERES|7BPWR|8VULN|9RCR|aASPD
161	22335 22366	   	185.75	DCR|4VULN|1ASPD|1DUR	1TLV|2789VULN|3DUR|45LWND|6RCR|aASPD
162	32362 12631	   	185.69	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2ERES|3DUR|4aAART|5VULN|6BEXP|7RCR|8CDMG|9DMG
163	32362 12642	   	185.69	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2ERES|3DUR|49AART|5VULN|6BEXP|7RCR|8CDMG|aDMG
164	32362 62631	   	185.69	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2ERES|3DUR|4aAART|5VULN|6LHND|7RCR|8CDMG|9DMG
165	53432 11433	   	185.66	ACR|3ASPD|2DMG|1AART|2CDMG|1AAC	1AAC|28DMG|3RCR|4BEXP|589ASPD|6AART|78CDMG|8BPWR|aLEGI
166	11251 36533	   	185.65	DCR|2DMG|1VULN|2CDMG|1ASPD|1RMIN	17CDMG|2TLV|3RMIN|4DMSP|57DMG|67ERES|7BPWR|8VULN|9RCR|aASPD
167	14363 22123	   	185.63	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|56DMG|7ERES|8RCR|9VULN|aRCVC
168	46313 22152	 * 	185.56	DCR|3DMG|1VULN|3DUR|1ZMB	138DUR|2ZMB|49aDMG|5VULN|6RCR|7BASARM
169	46313 21361	   	185.48	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	13DUR|2ZMB|4DMG|589VULN|6RCR|7AAC|aAELBLL
170	41413 21361	   	185.48	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	12DUR|2BPWR|3AAC|4DMG|589VULN|6RCR|7ZMB|aAELBLL
171	43413 21361	   	185.48	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	12DUR|3AAC|4DMG|589VULN|6RCR|7ZMB|aAELBLL
172	52623 21361	   	185.48	DCR|3VULN|1ASPD|2DUR|1AAC|1ZMB	1AAC|2ASPD|34DUR|589VULN|6RCR|7ZMB|aAELBLL
173	53623 21361	   	185.48	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	1AAC|2DMG|34DUR|589VULN|6RCR|7ZMB|aAELBLL
174	42562 33333	 * 	185.46	DCR|4VULN|1AART|1DUR	1DUR|2ERES|3RPLT|469aVULN|5AART|7MLV|8RCR
175	16213 18315	   	185.43	DCR|2VULN|2DMG|1MDPS|2CDMG|1DUR	17CDMG|2MDPS|3MBVNT|4DUR|57DMG|67VULN|7BPWR|8AELBLL|9CGEN|aRCR
176	16213 18415	   	185.43	DCR|2VULN|1MDPS|2DMG|2CDMG|1DUR	17CDMG|2MDPS|3MBVNT|4DUR|57DMG|67VULN|7BPWR|8DMSP|9CGEN|aRCR
177	11321 22466	   	185.40	DCR|2DMG|2ASPD|1AART|1CDMG	1CDMG|23TLV|48ASPD|5aDMG|6FEWX|7AART|9RCR
178	46313 21362	   	185.38	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	13DUR|2ZMB|4DMG|589VULN|6RCR|7AAC|aDUST
179	41413 21362	   	185.38	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	12DUR|2BPWR|3AAC|4DMG|589VULN|6RCR|7ZMB|aDUST
180	43413 21362	   	185.38	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	12DUR|3AAC|4DMG|589VULN|6RCR|7ZMB|aDUST
181	52623 21362	   	185.38	DCR|3VULN|1ASPD|2DUR|1AAC|1ZMB	1AAC|2ASPD|34DUR|589VULN|6RCR|7ZMB|aDUST
182	53623 21362	   	185.38	DCR|3VULN|1DMG|2DUR|1AAC|1ZMB	1AAC|2DMG|34DUR|589VULN|6RCR|7ZMB|aDUST
183	14363 22114	   	185.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|56DMG|7ERES|8RCR|9CGEN|aVULN
184	14363 22122	   	185.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|56DMG|7ERES|8RCR|9VULN|aLHND
185	14363 22124	   	185.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|56DMG|7ERES|8RCR|9VULN|aMLV
186	14363 22125	   	185.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|56DMG|7ERES|8RCR|9VULN|aLIT
187	53333 26224	   	185.27	DCR|3VULN|1AART|1DMG|1AAC	1AAC|2DMG|3CGEN|4TLV|59aVULN|6RCR|7AART|8BEXP
188	46313 26123	   	185.23	DCR|3VULN|1DMG|2DUR|1ZMB|1SELL	13DUR|2ZMB|4DMG|58aVULN|6RCR|7SELL|9ERES
189	14363 22121	   	185.20	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|56DMG|7ERES|8RCR|9VULN|aDUST
190	14363 22126	   	185.20	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3DUR|4AART|56DMG|7ERES|8RCR|9VULN|aTLV
191	52623 21326	   	185.08	DCR|2VULN|2ASPD|2DUR|2ZMB|1AAC	1AAC|2aASPD|34DUR|58VULN|6RCR|79ZMB
192	52312 23143	 * 	184.94	DCR|2AAC|1AART|1VULN|1ASPD|1DMG|1CDMG	1aAAC|2ASPD|3CGEN|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART
193	53342 23143	   	184.94	DCR|2AAC|1AART|1VULN|1ASPD|1DMG|1CDMG	1aAAC|2DMG|3CGEN|4ASPD|5LHND|6RCR|7CDMG|8VULN|9AART
194	31225 23363	   	184.90	DCR|2VULN|1AART|1DMG|1CDMG	12DUST|2BPWR|3RCVC|4CDMG|5AART|6aVULN|7RCR|8ERES|9DMG
195	31225 23613	   	184.90	DCR|2VULN|1AART|1ASPD|1CDMG	12DUST|2BPWR|3RCVC|4CDMG|5AART|6aVULN|7RCR|8ASPD|9ERES
196	53521 32241	 * 	184.80	DCR|1VULN|2CDMG|1AART|1DMG|1NUKE|1AAC	1AAC|2DMG|3ERES|4AART|5VULN|6LIT|78CDMG|9RCR|aNUKE
197	16225 12415	   	184.74	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR|1RMIN	1CDMG|2MDPS|3MBVNT|46VULN|5RMIN|78DMG|9DUR|aRCR
198	31225 23663	   	184.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	12DUST|2BPWR|3RCVC|4CDMG|5AART|6VULN|7RCR|8ASPD|9DMG|aBEXP
199	52213 21363	   	184.60	DCR|3VULN|1MDPS|1ASPD|1AAC|1ZMB	1AAC|2ASPD|3RCVC|4LWND|589VULN|6RCR|7ZMB|aMDPS
200	53213 21363	   	184.60	DCR|3VULN|1MDPS|1DMG|1AAC|1ZMB	1AAC|2DMG|3RCVC|4LWND|589VULN|6RCR|7ZMB|aMDPS
201	31225 23661	   	184.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	12DUST|2BPWR|3RCVC|4CDMG|5AART|6VULN|7RCR|8ASPD|9DMG|aBASFIG
202	31225 23662	   	184.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	12DUST|2BPWR|3RCVC|4CDMG|5AART|6VULN|7RCR|8ASPD|9DMG|aERES
203	14366 23123	   	184.21	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3DUR|47AART|5MLV|6DMG|8RCR|9VULN|aRCVC
204	16362 33225	   	184.05	DCR|3VULN|1MDPS|1DMG|1CDMG|1DUR	1CDMG|2MDPS|3AIRARM|46aVULN|5AME|7RCR|8DUR|9DMG
205	14366 23122	   	183.89	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3DUR|47AART|5MLV|6DMG|8RCR|9VULN|aLHND
206	11321 22464	 * 	183.89	DCR|2AART|2ASPD|1DMG|1CDMG	1CDMG|23TLV|48ASPD|5DMG|6FEWX|7aAART|9RCR
207	33262 12651	   	183.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUST|2DUR|3AME|4AART|5VULN|6BEXP|7RCR|8ASPD|9ZMB|aDMG
208	52352 26223	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC	1AAC|2ASPD|3CGEN|49VULN|5AME|6RCR|7AART|8BEXP|aCDMG
209	14366 23121	   	183.79	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1CDMG|2RPLT|3DUR|47AART|5MLV|6DMG|8RCR|9VULN|aDUST
210	21413 26263	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1TLV|2MLV|3AAC|4DMG|5aVULN|6RCR|7AART|8BEXP|9CDMG
211	26413 26223	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1TLV|2CGEN|3AAC|4DMG|59VULN|6RCR|7AART|8BEXP|aCDMG
212	53333 26223	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|4TLV|59VULN|6RCR|7AART|8BEXP|aCDMG
213	53333 26523	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|4TLV|59VULN|6RCR|7AART|8FEWX|aCDMG
214	53521 21352	   	183.69	DCR|2AART|1VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|3ERES|49AART|5VULN|6LHND|7CDMG|8RCR|aDUR
215	52422 35233	 * 	183.63	ACR|3VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1AAC|2ASPD|3RCR|4DUR|59aVULN|6LWND|7CDMG|8AART
216	53422 35233	 * 	183.63	ACR|3VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|3RCR|4DUR|59aVULN|6LWND|7CDMG|8AART
217	52213 21364	   	183.54	DCR|3VULN|1ASPD|1AAC|1ZMB|1DUR	1AAC|2ASPD|3RCVC|4LWND|589VULN|6RCR|7ZMB|aDUR
218	53213 21364	   	183.54	DCR|3VULN|1DMG|1AAC|1ZMB|1DUR	1AAC|2DMG|3RCVC|4LWND|589VULN|6RCR|7ZMB|aDUR
219	14153 31734	 * 	183.47	DCR|3VULN|2CDMG|1ASPD	18CDMG|2RPLT|3LHND|4MBVNT|58aVULN|68FEWX|7RCR|8BPWR|9ASPD
220	52312 23142	   	183.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3aCGEN|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART
221	52312 23144	   	183.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART|aRPLT
222	52312 23146	   	183.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART|aBEXP
223	53342 23142	   	183.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3aCGEN|4ASPD|5LHND|6RCR|7CDMG|8VULN|9AART
224	52312 23145	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART|aERES
225	52512 23142	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2ASPD|3ERES|4DMG|5LHND|6RCR|7CDMG|8VULN|9AART|aCGEN
226	25232 51115	 * 	183.31	DCR|3VULN|1MDPS|3ZMB|1AART	1TLV|2MDPS|3DMSP|467ZMB|568VULN|6BPWR|9AART|aRCR
227	22115 12156	   	183.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1TLV|2VULN|3DMSP|4aDMG|5LIT|6DUR|7CDMG|8AART|9RCR
228	22512 51224	   	183.29	DCR|2VULN|2DMG|1AART	17TLV|27VULN|3RPLT|4DUST|5LWND|67DMG|7BPWR|8AART|9RCR|aRMIN
229	13134 12642	 * 	183.29	DCR|3VULN|1AART|2CDMG	18CDMG|268MLV|3CANARM|47LHND|568VULN|68BPWR|9RCR|aAART
230	22512 11232	   	183.27	DCR|3VULN|1AART|1DMG	1TLV|268VULN|3RPLT|4DUST|5LWND|7RCR|9AART|aDMG
231	22515 11232	   	183.27	DCR|3VULN|1AART|1DMG	1TLV|268VULN|3RPLT|4DUST|5LHND|7RCR|9AART|aDMG
232	52513 21533	   	183.27	DCR|2AAC|1AART|1VULN|1ASPD|1DMG|1CDMG	17AAC|2ASPD|3ERES|4DMG|5VULN|6RCR|8AART|9BEXP|aCDMG
233	25132 51115	   	183.21	DCR|3VULN|1MDPS|3ZMB|1AART	13TLV|2MDPS|467ZMB|568VULN|6BPWR|9AART|aRCR
234	16413 12123	   	183.20	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1AAC|1DUR	1CDMG|2MDPS|3FEWX|4DUR|5aDMG|6VULN|7AART|8AAC|9RCR
235	16247 51334	 * 	183.17	DCR|3VULN|1MDPS|2CDMG|1ASPD	19CDMG|2MDPS|3MBVNT|49TLV|5CGEN|6ASPD|7RCR|89aVULN|9BPWR
236	52513 21523	   	183.17	DCR|2AAC|1AART|1VULN|1ASPD|1DMG|1CDMG	17AAC|2ASPD|3ERES|4DMG|5VULN|6RCR|8AART|9DUST|aCDMG
237	11134 12642	   	182.99	DCR|3VULN|1AART|2CDMG	18CDMG|268TLV|3CANARM|47LHND|568VULN|68BPWR|9RCR|aAART
238	53221 11252	   	182.94	DCR|1SPLARM|2DMG|1VULN|1ASPD|1CDMG|1AAC	1AAC|25DMG|38RCVC|4CDMG|6VULN|7SPLARM|9RCR|aASPD
239	16223 11186	 * 	182.77	DCR|1SPLARM|2VULN|1MDPS|1DMG|1CDMG|1ZMB	1CDMG|2MDPS|3MBVNT|46VULN|5DMG|7RCR|8RPLT|9ZMB|aSPLARM
240	16225 11734	   	182.68	DCR|3VULN|1MDPS|1DMG|1CDMG|1RMIN	1CDMG|2MDPS|3MBVNT|46aVULN|5RMIN|7RCR|8CGEN|9DMG
241	41225 21152	   	182.61	DCR|2AART|1VULN|1CDMG|2DUR|1ZMB	12DUR|2BPWR|3RCVC|4CDMG|5aAART|6VULN|7DUST|8RCR|9ZMB
242	43225 21152	   	182.61	DCR|2AART|1VULN|1CDMG|2DUR|1ZMB	12DUR|3RCVC|4CDMG|5aAART|6VULN|7DUST|8RCR|9ZMB
243	52551 22123	   	182.58	DCR|2VULN|1AART|1ASPD|1AAC|1DUR|1RMIN	1AAC|2ASPD|3ERES|49VULN|5RMIN|6RCR|7CANSTR|8DUR|aAART
244	13342 56132	   	182.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2MLV|3TLV|4ASPD|5BEXP|6DUR|7DMG|8aVULN|9RCR
245	11325 14533	 * 	182.29	DCR|1AART|1VULN|2CDMG|1ASPD|2DUR	19CDMG|239TLV|4ASPD|5AART|6CANARM|7RCR|89DUR|9BPWR|aVULN
246	16123 16421	   	182.28	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2MDPS|3LWND|46VULN|5DMG|7ASPD|8DUR|9RCR|aLEGI
247	16123 16423	   	182.28	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2MDPS|3LWND|46VULN|5DMG|7ASPD|8DUR|9RCR|aERES
248	33262 41523	 * 	182.27	DCR|1SPLARM|2VULN|1AART|1DMG|1DUR	1DUST|2DUR|3AME|4AART|58VULN|6TLV|7SPLARM|9DMG|aRCR
249	36362 51111	   	182.26	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4AART|57VULN|6RCR|8BEXP|9CDMG|aMBVNT
250	52313 23441	   	182.22	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|28ASPD|3CGEN|4DMG|5VULN|6RCR|7CDMG|9FEWX|aDUR
251	52313 23461	   	182.22	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|28ASPD|3CGEN|4DMG|5VULN|6RCR|7CDMG|9BEXP|aDUR
252	33662 12114	   	182.21	DCR|2VULN|1AART|1CDMG|2DUR|1RMIN	1DUST|28DUR|3RMIN|4AART|5aVULN|6BEXP|7RCR|9CDMG
253	36362 51211	   	182.16	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|4AART|57VULN|6RCR|8LEGI|9CDMG|aMBVNT
254	16223 11728	   	182.14	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1CDMG|2MDPS|3MBVNT|46VULN|5DMG|7RCR|8CGEN|9RMIN|aASPD
255	52313 23421	   	182.12	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|28ASPD|3CGEN|4DMG|5VULN|6RCR|7CDMG|9DUST|aDUR
256	53343 23421	   	182.12	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|2DMG|3CGEN|48ASPD|5VULN|6RCR|7CDMG|9DUST|aDUR
257	52513 23421	   	182.02	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|28ASPD|3ERES|4DMG|5VULN|6RCR|7CDMG|9DUST|aDUR
258	53321 32254	   	181.95	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|4AART|5aVULN|6LIT|7CDMG|8RMIN|9RCR
259	36362 53112	   	181.95	DCR|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	17DUST|2ZMB|3DUR|4AART|5VULN|6RCR|8BEXP|9CDMG|aDMG
260	53333 26334	   	181.94	DCR|2VULN|1AART|1DMG|1AAC|1ZMB	1AAC|2DMG|3CGEN|4TLV|5aVULN|6RCR|7AART|8ZMB|9RMIN
261	33662 12112	   	181.90	DCR|1VULN|1AART|1DMG|1CDMG|2DUR|1RMIN	1DUST|28DUR|3RMIN|4AART|5VULN|6BEXP|7RCR|9CDMG|aDMG
262	33662 62112	   	181.90	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1RMIN	1DUST|28DUR|3RMIN|4AART|5VULN|6LHND|7RCR|9CDMG|aDMG
263	52623 21263	   	181.86	DCR|2VULN|2ASPD|2DUR|1AAC|1ZMB	1AAC|2aASPD|34DUR|59VULN|6RCR|7ZMB|8FEWX
264	36362 53212	   	181.85	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	17DUST|2ZMB|3DUR|4AART|5VULN|6RCR|8LEGI|9CDMG|aDMG
265	36365 23122	   	181.76	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	17DUST|2ZMB|3DUR|4AART|5ASPD|6DMG|8RCR|9VULN|aFEWX
266	16223 11535	   	181.69	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1CDMG|2MDPS|3MBVNT|46VULN|5DMG|7RCR|8LWND|9MULARM|aAART
267	25262 12412	   	181.69	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1TLV|2MDPS|3DMSP|4AART|58VULN|6BEXP|7RCR|9CDMG|aDMG
268	13515 23143	   	181.68	DCR|2VULN|1AART|1CDMG|2ZMB|1DUR	1CDMG|2MLV|34ZMB|5AART|6aVULN|7BEXP|8RCR|9DUR
269	36365 23121	   	181.66	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	17aDUST|2ZMB|3DUR|4AART|5ASPD|6DMG|8RCR|9VULN
270	36365 23123	   	181.66	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	17DUST|2ZMB|3DUR|4AART|5ASPD|6DMG|8RCR|9VULN|aERES
271	52313 22531	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7FEWX|aBEXP
272	52313 22532	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7FEWX|aLIT
273	52313 22534	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7FEWX|aLWND
274	52313 22535	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7FEWX|aMLV
275	52313 24212	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7LIT|aBEXP
276	52313 24213	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7LIT|aFEWX
277	53343 22531	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2DMG|3CGEN|4ASPD|589VULN|6RCR|7FEWX|aBEXP
278	53343 22532	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2DMG|3CGEN|4ASPD|589VULN|6RCR|7FEWX|aLIT
279	53343 24212	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2DMG|3CGEN|4ASPD|589VULN|6RCR|7LIT|aBEXP
280	53343 24213	   	181.66	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2DMG|3CGEN|4ASPD|589VULN|6RCR|7LIT|aFEWX
281	53321 32253	   	181.63	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|2DMG|3CGEN|4AART|5VULN|6LIT|7CDMG|8RMIN|9RCR|aASPD
282	16223 11525	   	181.59	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1CDMG|2MDPS|3MBVNT|46VULN|5DMG|7RCR|8LWND|9BASFIG|aAART
283	16223 11641	   	181.59	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1CDMG|2MDPS|3MBVNT|46VULN|5DMG|7RCR|8FEWX|9MSLFST|aAART
284	25162 12412	   	181.59	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	13TLV|2MDPS|4AART|58VULN|6BEXP|7RCR|9CDMG|aDMG
285	25262 32412	   	181.59	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1TLV|2MDPS|3DMSP|4AART|58VULN|6DUST|7RCR|9CDMG|aDMG
286	11515 23143	   	181.58	DCR|2VULN|1AART|1CDMG|2ZMB|1DUR	1CDMG|2TLV|34ZMB|5AART|6aVULN|7BEXP|8RCR|9DUR
287	13515 21143	   	181.58	DCR|2VULN|1AART|1CDMG|2ZMB|1DUR	1CDMG|2MLV|34ZMB|5AART|6aVULN|7DUST|8RCR|9DUR
288	52313 22533	   	181.56	DCR|3VULN|1ASPD|1DMG|1AAC|1MSE	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7FEWX|aMSE
289	52313 22536	   	181.56	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7FEWX|aMBVNT
290	52313 24211	   	181.56	DCR|3VULN|1ASPD|1DMG|1AAC|1MSE	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7LIT|aMSE
291	52313 24214	   	181.56	DCR|3VULN|1ASPD|1DMG|1AAC	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7LIT|aTLV
292	52313 24216	   	181.56	DCR|3VULN|1ASPD|1DMG|1AAC|1SELL	1AAC|2ASPD|3CGEN|4DMG|589VULN|6RCR|7LIT|aSELL
293	53343 22533	   	181.56	DCR|3VULN|1ASPD|1DMG|1AAC|1MSE	1AAC|2DMG|3CGEN|4ASPD|589VULN|6RCR|7FEWX|aMSE
294	53343 24211	   	181.56	DCR|3VULN|1ASPD|1DMG|1AAC|1MSE	1AAC|2DMG|3CGEN|4ASPD|589VULN|6RCR|7LIT|aMSE
295	53432 62322	 * 	181.54	ACR|4VULN|1ASPD|1DMG|1AAC|1ZMB	1AAC|2DMG|3RCR|4BEXP|5ASPD|678aVULN|9ZMB
296	25162 32412	   	181.49	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	13TLV|2MDPS|4AART|58VULN|6DUST|7RCR|9CDMG|aDMG
297	11515 21143	   	181.48	DCR|2VULN|1AART|1CDMG|2ZMB|1DUR	1CDMG|2TLV|34ZMB|5AART|6aVULN|7DUST|8RCR|9DUR
298	16363 31342	 * 	181.40	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG	15CDMG|2MDPS|3AIRARM|46VULN|7FEWX|8DMG|9RCR|aASPD
299	13642 62233	   	181.30	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|1DUR	1CDMG|2MLV|3MDPS|4DUR|5AART|69DMG|7AME|8VULN|aRCR
300	54213 21363	   	181.29	DCR|3VULN|1MDPS|1DMG|1AAC|1ZMB	1AAC|2LWND|3AELBLL|4DMG|589VULN|6RCR|7ZMB|aMDPS
301	54313 21363	   	181.29	DCR|3VULN|1MDPS|1DMG|1AAC|1ZMB	1AAC|23LWND|4DMG|589VULN|6RCR|7ZMB|aMDPS
302	21413 21363	   	181.19	DCR|3VULN|1MDPS|1DMG|1AAC|1ZMB	1TLV|2MLV|3AAC|4DMG|589VULN|6RCR|7ZMB|aMDPS
303	21443 21363	   	181.19	DCR|3VULN|1MDPS|1ASPD|1AAC|1ZMB	1TLV|2MLV|3AAC|4ASPD|589VULN|6RCR|7ZMB|aMDPS
304	52213 26314	   	181.18	DCR|2VULN|1AART|1ASPD|1AAC|1ZMB	1AAC|2ASPD|3RCVC|4LWND|5aVULN|6RCR|7AART|8ZMB|9CGEN
305	52213 26321	   	181.18	DCR|2VULN|1AART|1ASPD|1AAC|1ZMB	1AAC|2ASPD|3RCVC|4LWND|59VULN|6RCR|7AART|8ZMB|aAME
306	52213 26324	   	181.18	DCR|2VULN|1AART|1ASPD|1AAC|1ZMB	1AAC|2ASPD|3RCVC|4LWND|59VULN|6RCR|7AART|8ZMB|aLIT
307	52213 26326	   	181.18	DCR|2VULN|1AART|1ASPD|1AAC|1ZMB	1AAC|2ASPD|3RCVC|4LWND|59VULN|6RCR|7AART|8ZMB|aFEWX
308	53213 26314	   	181.18	DCR|2VULN|1AART|1DMG|1AAC|1ZMB	1AAC|2DMG|3RCVC|4LWND|5aVULN|6RCR|7AART|8ZMB|9CGEN
