0	Index      	 *	Score 	Summary	Detail	
1	52232 22313	 * 	238.39	ACR|3VULN|3DMG|1BASARM	13aDMG|2RCR|4MSLTOX|568VULN|7LWND|9BASARM
169	52212 32633	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LEGI|aFEWX
170	52212 32641	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9AEFBLL|aLHND
171	52212 32642	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7aCGEN|8BASARM|9AEFBLL
172	52212 32651	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9MSLFST|aMLV
173	52212 32653	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9MSLFST|aLWND
174	52212 34622	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9LHND|aDUR
175	52212 34623	   	211.20	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9LHND|aFEWX
176	52263 33352	   	211.16	ACR|3DMG|2BEXP|1ASPD|1CDMG|1SELL	136DMG|2RCR|4CGEN|5ASPD|78BEXP|9CDMG|aSELL
177	52211 51134	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5LIT|6LWND|7AART|8AME|9ERES|aBASARM
178	52212 26611	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9AEMAG|aLHND
179	52212 26612	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9AEMAG|aCGEN
180	52212 26632	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9LEGI|aDUR
181	52212 26633	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|8BASARM|9LEGI|aFEWX
182	52212 32614	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9AEMAG|aLSRREG
183	52212 32635	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LEGI|aAEFBLL
184	52212 32636	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7CGEN|8BASARM|9LEGI|aERES
185	52212 34611	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9AEMAG|aLHND
186	52212 34612	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9AEMAG|aCGEN
187	52212 34632	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9LEGI|aDUR
188	52212 34633	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6ZMB|7AME|8BASARM|9LEGI|aFEWX
189	52212 45231	   	211.10	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AART|6RPLT|7AAC|8NUKE|9DUR|aBASARM
190	52222 15316	   	211.10	ACR|3DMG|1BASARM|1BEXP	137DMG|2RCR|4AAC|5MLV|6DMSP|8AEMAG|9BEXP|aBASARM
191	52252 21316	   	211.05	ACR|3DMG|1BASARM|1CDMG|1SELL	135DMG|2RCR|4CDMG|6SELL|79FEWX|8MLV|aBASARM
192	52213 61811	   	211.00	ACR|3DMG|1BASARM|1AART	134DMG|2RCR|5AEMAG|6AART|7MBVNT|8RPLT|9DUST|aBASARM
193	52222 25316	   	211.00	ACR|3DMG|1BASARM|1BEXP	137DMG|2RCR|46AAC|5MLV|8AEMAG|9BEXP|aBASARM
194	52252 21116	   	210.95	ACR|3DMG|1BASARM|1CDMG|1SELL	135DMG|2RCR|4CDMG|6SELL|79FEWX|8TLV|aBASARM
195	52313 43113	 * 	210.86	ACR|3BEXP|2ASPD|2DMG	17DMG|2RCR|37DUST|467BEXP|5MDPS|7BPWR|8LIT|9aASPD
196	52252 21126	   	210.85	ACR|3DMG|1BASARM|1CDMG|1SELL	135DMG|2RCR|4CDMG|6SELL|7FEWX|89TLV|aBASARM
197	52252 16111	   	210.52	ACR|3DMG|2VULN|2CDMG|1AAC	135DMG|2RCR|48CDMG|68ERES|78VULN|8BPWR|9TLV|aAAC
198	52232 51422	   	210.50	ACR|1BASARM|2DMG|1VULN|1CDMG	13DMG|2RCR|4MSLTOX|5VULN|6RMIN|79DUR|8BASARM|aCDMG
199	52251 51111	   	210.26	ACR|3DMG|1VULN|2CDMG|1BEXP|1AAC	136DMG|2RCR|49CDMG|5BEXP|7RCVC|8VULN|aAAC
200	52252 51232	   	210.22	ACR|3DMG|1ASPD|1CDMG|1AART|1BEXP	135DMG|2RCR|4CDMG|6DMSP|7ASPD|8AART|9BEXP|aDUR
201	52252 51233	   	210.22	ACR|3DMG|1ASPD|1CDMG|1AART|1BEXP	135DMG|2RCR|4CDMG|6DMSP|7ASPD|8AART|9BEXP|aLWND
202	52212 35351	   	210.16	ACR|3VULN|3DMG|1AART	134DMG|2RCR|5AART|68ZMB|78aVULN|8BPWR|9CGEN
203	52251 11353	   	210.12	ACR|3DMG|1ASPD|1BEXP|1CDMG|1AART	139DMG|2RCR|4CDMG|5BEXP|6FEWX|7ASPD|8DUST|aAART
204	52252 51231	   	210.12	ACR|3DMG|1ASPD|1BEXP|1AART|1CDMG	135DMG|2RCR|4CDMG|6DMSP|7ASPD|8AART|9BEXP|aMBVNT
205	52212 35341	   	210.06	ACR|3VULN|3DMG|1AART	134DMG|2RCR|5AART|68ZMB|78aVULN|8BPWR|9TLV
206	52212 35361	   	210.06	ACR|3VULN|3DMG|1AART	134DMG|2RCR|5AART|68ZMB|78aVULN|8BPWR|9ERES
207	52616 22131	   	209.75	ACR|2VULN|3DMG|1AART|1BEXP	168DMG|2RCR|3ERES|48VULN|5RPLT|78DUR|8BPWR|9AART|aBEXP
208	52614 11211	 * 	209.67	ACR|4VULN|2DMG|2CDMG	18DMG|2RCR|3ERES|4689VULN|58CDMG|7MBVNT|8BPWR|aRPLT
209	52614 11213	   	209.67	ACR|4VULN|2DMG|2CDMG	18DMG|2RCR|3ERES|4689VULN|58CDMG|7MBVNT|8BPWR|aMLV
210	52614 11212	   	209.57	ACR|4VULN|2DMG|2CDMG	18DMG|2RCR|3ERES|4689VULN|58CDMG|7MBVNT|8BPWR|aAEFBLL
211	52614 11214	   	209.57	ACR|4VULN|2DMG|2CDMG	18DMG|2RCR|3ERES|4689VULN|58CDMG|7MBVNT|8BPWR|aMDPS
212	52614 11223	   	209.57	ACR|4VULN|2DMG|2CDMG	18DMG|2RCR|3ERES|468aVULN|58CDMG|7MBVNT|8BPWR|9DUST
213	33345 15331	   	209.49	ACR|3BEXP|1ASPD|1DMG|1BASICY|1CDMG	16LWND|2RCR|345BEXP|7CDMG|8ASPD|9BASICY|aDMG
214	52612 23631	 * 	209.42	ACR|3BEXP|2DMG|1VULN|2CDMG	19DMG|2RCR|39ERES|4VULN|5AAC|67aBEXP|89CDMG|9BPWR
215	52223 52522	   	209.30	ACR|2DMG|2BEXP|1ASPD|1CDMG|1AART	13DMG|2RCR|4AAC|5ASPD|6CDMG|78BEXP|9AART|aLHND
216	52211 64132	 * 	209.30	ACR|3DMG|1ASPD|1BASICY|2CDMG	134DMG|2RCR|5LIT|68CDMG|7ASPD|9BASICY|aDMSP
217	52653 11331	   	209.25	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART|1CDMG	1DMG|2RCR|3ERES|49BEXP|5AART|6CGEN|7CDMG|8ASPD|aVULN
218	52223 52521	   	209.20	ACR|2DMG|2BEXP|1ASPD|1CDMG|1AART	13DMG|2RCR|4AAC|5ASPD|6CDMG|78BEXP|9AART|aMBVNT
219	52223 52523	   	209.20	ACR|2DMG|2BEXP|1ASPD|1CDMG|1AART	13DMG|2RCR|4AAC|5ASPD|6CDMG|78BEXP|9AART|aAEMAG
220	52211 64133	   	209.20	ACR|3DMG|1ASPD|2CDMG|1BASICY	134DMG|2RCR|5LIT|68CDMG|7ASPD|9BASICY|aDUST
221	52262 13214	   	209.19	ACR|1BASARM|2DMG|1AART|1BEXP	13DMG|2RCR|4CGEN|5MLV|6AART|7MDPS|8BEXP|9LIT|aBASARM
222	52333 42331	   	209.15	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1CDMG	1DMG|2RCR|3DUST|4VULN|5MDPS|6aBEXP|7ASPD|8CDMG|9AART
223	52313 62331	   	209.15	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART|1CDMG	1DMG|2RCR|3DUST|4aBEXP|5MDPS|6VULN|7ASPD|8CDMG|9AART
224	52251 21447	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	13DMG|2RCR|4CDMG|5BEXP|6TLV|7MBVNT|8AEMAG|9RPLT|aBASARM
225	52251 31428	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	13DMG|2RCR|4CDMG|5BEXP|6ERES|7MBVNT|8TLV|9LWND|aBASARM
226	52411 21117	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	14DMG|2RCR|3AEFBLL|5RPLT|6TLV|7MBVNT|8CDMG|9BEXP|aBASARM
227	52411 31117	   	208.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	14DMG|2RCR|3AEFBLL|5RPLT|6ERES|7MBVNT|8CDMG|9BEXP|aBASARM
228	52212 41353	   	208.96	ACR|3DMG|1VULN|1CDMG|1BEXP|1AART	134DMG|2RCR|5AART|6RPLT|7CGEN|8BEXP|9VULN|aCDMG
229	52252 61333	   	208.96	ACR|3DMG|1VULN|1BEXP|1AART|1CDMG	135DMG|2RCR|4CDMG|6VULN|7BELT|8BEXP|9AART|aMLV
230	52251 11152	 * 	208.92	ACR|3DMG|3CDMG|1ASPD|1BEXP	139DMG|2RCR|48aCDMG|5BEXP|6FEWX|7ASPD
231	52212 41351	   	208.88	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|6RPLT|7CGEN|8aBEXP|9VULN
232	52212 11623	   	208.88	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|6LWND|7LHND|8VULN|9aBEXP
233	52212 12623	   	208.88	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|6LWND|7DUR|8VULN|9aBEXP
234	52212 14261	   	208.88	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|67LWND|89BEXP|aVULN
235	52212 15623	   	208.88	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|6LWND|7FEWX|8VULN|9aBEXP
236	52212 23333	 * 	208.86	ACR|3DMG|1VULN|2AART|1CDMG	134DMG|2RCR|59AART|6ERES|7DUST|8VULN|aCDMG
237	52252 61331	   	208.86	ACR|3DMG|1VULN|1BEXP|1CDMG|1AART	135DMG|2RCR|4CDMG|6VULN|7BELT|8BEXP|9AART|aDUST
238	52252 61332	   	208.86	ACR|3DMG|1VULN|1AART|1BEXP|1CDMG	135DMG|2RCR|4CDMG|6VULN|7BELT|8BEXP|9AART|aERES
239	52313 43326	 * 	208.82	ACR|3DMG|3BEXP|1ASPD	179DMG|2RCR|37DUST|467BEXP|5MDPS|7BPWR|8MBVNT|aASPD
240	52212 24261	   	208.78	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|6ERES|7MLV|89BEXP|aVULN
241	52212 26261	   	208.78	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|6ERES|7ZMB|89BEXP|aVULN
242	52212 34261	   	208.78	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AART|6ZMB|7AME|89BEXP|aVULN
243	52213 23364	   	208.78	ACR|3DMG|2BEXP|1VULN|1AART	134DMG|2RCR|5AEMAG|67BEXP|8VULN|9DMSP|aAART
244	52251 62211	   	208.72	ACR|2VULN|2DMG|1BEXP|1CDMG|1AART	13DMG|2RCR|4CDMG|5BEXP|6AART|7DUST|8RCVC|9aVULN
245	52251 63211	   	208.72	ACR|2VULN|2DMG|1BEXP|1AART|1CDMG	13DMG|2RCR|4CDMG|5BEXP|6AART|7MBVNT|8RCVC|9aVULN
