0	Index      	 *	Score 	Summary	Detail	
1	42251 22242	 * 	226.19	DCR|3VULN|2BASARM|2ASPD|1AART|1CDMG	189VULN|2CDMG|39BASARM|4LHND|5AART|6FLTFST|79ASPD|9BPWR|aRCR
142	32613 11346	   	200.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1DUST|2CDMG|3RCR|4VULN|5LWND|6RMIN|7ASPD|8TLV|9BEXP|aBASARM
143	13116 34163	   	200.15	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|7LWND|8BEXP|9VULN|aAART
144	13236 34163	   	200.05	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|7LWND|8BEXP|9VULN|aAART
145	13116 36151	   	200.03	ACR|1BASARM|2BEXP|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78BEXP|9AART|aRPLT
146	13116 36152	   	200.03	ACR|1BASARM|2BEXP|1AART|1CDMG	1AEMAG|2RCR|3aZMB|4CDMG|5BASARM|6FEWX|78BEXP|9AART
147	13116 36153	   	199.93	ACR|1BASARM|2BEXP|1AART|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|78BEXP|9AART|aAME
148	13236 36151	   	199.93	ACR|1BASARM|2BEXP|1AART|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9AART|aRPLT
149	13236 36152	   	199.93	ACR|1BASARM|2BEXP|1AART|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9AART|aZMB
150	13116 36633	   	199.91	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|7BEXP|8DMG|9LHND|aAAC
151	13116 61312	   	199.91	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6SELL|7LWND|8VULN|9AART|aBEXP
152	13236 36153	   	199.83	ACR|1BASARM|2BEXP|1AART|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|78BEXP|9AART|aDUST
153	13116 23452	   	199.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|38ZMB|4CDMG|5BASARM|6DMG|7TLV|9BEXP|aAAC
154	13116 24348	   	199.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9BEXP|aAAC
155	13116 25112	   	199.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8RMIN|9BEXP|aAAC
156	13116 25224	   	199.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AAC|aDUR
157	13116 25226	   	199.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AAC|aBELT
158	13236 61312	   	199.81	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG|1SELL	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6SELL|7LWND|8VULN|9AART|aBEXP
159	13116 61315	   	199.79	ACR|1BASARM|2VULN|1AART|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6SELL|7LWND|8aVULN|9AART
160	13116 64122	   	199.79	ACR|1BASARM|2BEXP|1AART|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6SELL|79BEXP|8LHND|aAART
161	13116 64222	   	199.79	ACR|1BASARM|2BEXP|1AART|1CDMG|1SELL	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6SELL|79BEXP|8LWND|aAART
162	44131 16113	   	199.77	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1VULN|23ERES|4BEXP|5RCR|6LWND|7DMG|8BASARM|9AART|aAAC
163	44141 22113	   	199.77	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1AAC	1VULN|23ERES|4LWND|5RCR|6DMG|7BEXP|8BASARM|9AART|aAAC
164	32412 51242	   	199.76	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AART	1DUST|2CDMG|34VULN|5RCR|6AART|7BEXP|8RCVC|9BASARM|aTLV
165	32412 51243	   	199.76	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AART	1DUST|2CDMG|34VULN|5RCR|6AART|7BEXP|8RCVC|9BASARM|aERES
166	41241 25113	   	199.75	ACR|2VULN|1BASARM|1DMG|1AART|1AAC	13VULN|2CGEN|4LWND|5RCR|6DMG|7DUST|8BASARM|9AART|aAAC
167	13116 23348	   	199.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9BEXP|aAAC
168	13116 25221	   	199.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AAC|aSNIFST
169	13116 25223	   	199.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AAC|aERES
170	13116 25225	   	199.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8BEXP|9AAC|aSNITOX
171	13236 61315	   	199.69	ACR|1BASARM|2VULN|1AART|1CDMG|1SELL	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6SELL|7LWND|8aVULN|9AART
172	13354 22513	 * 	199.49	ACR|2ASPD|2DMG|2BEXP	1AEMAG|2RCR|3LEGI|4LWND|5aASPD|69DMG|78BEXP
173	13236 33623	   	199.35	ACR|1BASARM|1DMG|1VULN|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6FEWX|7DUR|8DMG|aVULN
174	13236 36633	   	199.35	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|4aAAC|5BASARM|6FEWX|7BEXP|8DMG|9LHND
175	13236 24222	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7CGEN|8AME|aBEXP
176	13236 24348	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|4aAAC|5BASARM|6DMG|7CGEN|8MBVNT|9BEXP
177	13236 24522	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7CGEN|8TLV|aBEXP
178	13236 25222	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7AEFBLL|8BEXP|aFEWX
179	13236 25224	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7AEFBLL|8BEXP|aLHND
180	13236 25225	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7AEFBLL|8BEXP|aDUR
181	13236 25242	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|4aAAC|5BASARM|6DMG|7AEFBLL|8BEXP|9ZMB
182	13236 25322	   	199.25	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7AEFBLL|8LWND|aBEXP
183	13116 21463	 * 	199.23	ACR|1BASARM|2CDMG|1DMG|1VULN	1AEMAG|2RCR|3ZMB|49CDMG|5BASARM|6DMG|7LHND|8LWND|aVULN
184	13116 21563	   	199.23	ACR|1BASARM|2CDMG|1DMG|1VULN	1AEMAG|2RCR|3ZMB|49CDMG|5BASARM|6DMG|7LHND|8FEWX|aVULN
185	13116 33663	   	199.23	ACR|1BASARM|1DMG|2CDMG|1VULN	1AEMAG|2RCR|3ZMB|49CDMG|5BASARM|6FEWX|7DUR|8DMG|aVULN
186	13116 52333	   	199.23	ACR|1BASARM|1VULN|1ASPD|2CDMG	1AEMAG|2RCR|3ZMB|4aCDMG|5BASARM|6RPLT|7MLV|8VULN|9ASPD
187	61313 61336	 * 	199.20	ACR|3VULN|2BEXP|2CDMG|1DMG	1RMIN|2RCVC|3BELT|4RCR|58aVULN|68CDMG|78BEXP|8BPWR|9DMG
188	13236 23222	   	199.15	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7TLV|8AME|aBEXP
189	13236 23348	   	199.15	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|4aAAC|5BASARM|6DMG|7TLV|8MBVNT|9BEXP
190	13236 25223	   	199.15	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1AEMAG|2RCR|3CDMG|49AAC|5BASARM|6DMG|7AEFBLL|8BEXP|aTLV
191	13236 21463	   	199.13	ACR|1BASARM|2CDMG|1DMG|1VULN	1AEMAG|2RCR|39CDMG|4AAC|5BASARM|6DMG|7LHND|8LWND|aVULN
192	13236 21563	   	199.13	ACR|1BASARM|2CDMG|1DMG|1VULN	1AEMAG|2RCR|39CDMG|4AAC|5BASARM|6DMG|7LHND|8FEWX|aVULN
193	13236 33663	   	199.13	ACR|1BASARM|1DMG|2CDMG|1VULN	1AEMAG|2RCR|39CDMG|4AAC|5BASARM|6FEWX|7DUR|8DMG|aVULN
194	13236 52333	   	199.13	ACR|1BASARM|1VULN|1ASPD|2CDMG	1AEMAG|2RCR|3aCDMG|4AAC|5BASARM|6RPLT|7MLV|8VULN|9ASPD
195	13116 35433	   	199.13	ACR|1BASARM|1ASPD|2CDMG|1VULN	1AEMAG|2RCR|3ZMB|48CDMG|5BASARM|6FEWX|7DUST|9ASPD|aVULN
196	13116 53233	   	199.13	ACR|1BASARM|1VULN|1ASPD|2CDMG	1AEMAG|2RCR|3ZMB|4aCDMG|5BASARM|6RPLT|7VULN|8TLV|9ASPD
197	13236 35433	   	199.03	ACR|1BASARM|1ASPD|2CDMG|1VULN	1AEMAG|2RCR|38CDMG|4AAC|5BASARM|6FEWX|7DUST|9ASPD|aVULN
198	13236 53233	   	199.03	ACR|1BASARM|1VULN|1ASPD|2CDMG	1AEMAG|2RCR|3aCDMG|4AAC|5BASARM|6RPLT|7VULN|8TLV|9ASPD
199	44332 52331	 * 	198.96	ACR|2VULN|2ASPD|1BASICY|1AART|1CDMG	1aVULN|2ERES|39ASPD|4CDMG|5RCR|6AART|7BASICY|8LHND
200	13116 33164	 * 	198.71	ACR|1BASARM|2BEXP|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|7DUR|8aBEXP|9VULN
201	13116 35134	   	198.61	ACR|1BASARM|2BEXP|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|7DUST|8aBEXP|9VULN
202	13116 36335	   	198.61	ACR|1BASARM|2BEXP|1VULN|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6FEWX|7aBEXP|8MBVNT|9VULN
203	13236 33164	   	198.61	ACR|1BASARM|2BEXP|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|7DUR|8aBEXP|9VULN
204	32412 16241	   	198.57	ACR|3VULN|1BASARM|1AART|1CDMG	1DUST|2CDMG|34aVULN|5RCR|6FEWX|7AART|8RCVC|9BASARM
205	32412 36241	   	198.57	ACR|3VULN|1BASARM|1AART|1CDMG	1DUST|2CDMG|34aVULN|5RCR|6LHND|7AART|8RCVC|9BASARM
206	32412 53241	   	198.57	ACR|3VULN|1BASARM|1AART|1CDMG	1DUST|2CDMG|34aVULN|5RCR|6AART|7FEWX|8RCVC|9BASARM
207	13236 35134	   	198.51	ACR|1BASARM|2BEXP|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|7DUST|8aBEXP|9VULN
208	13236 36335	   	198.51	ACR|1BASARM|2BEXP|1VULN|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6FEWX|7aBEXP|8MBVNT|9VULN
209	13241 33615	   	198.25	ACR|1ASPD|1DMG|1BASICY|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6BASICY|7ASPD|8DMG|9DUR|aVULN
210	13241 33635	   	198.25	ACR|1ASPD|1DMG|1BASICY|1VULN|1BEXP|1CDMG	1AEMAG|2RCR|3CDMG|4BEXP|5FEWX|6BASICY|7ASPD|8DMG|9LHND|aVULN
211	13315 28623	   	198.15	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1AEMAG|2RCR|3LEGI|4MBVNT|57ASPD|6AART|8BEXP|9VULN|aDMG
212	13116 21426	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8LWND|9MLV|aASPD
213	13116 21436	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8LWND|9CGEN|aASPD
214	13116 21526	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8FEWX|9MLV|aASPD
215	13116 21616	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8RMIN|9FEWX|aASPD
216	13116 24116	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8DUR|9FEWX|aASPD
217	52322 12266	   	197.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUR|2CDMG|3DMG|4TLV|5RCR|6FEWX|7VULN|8LHND|9ASPD|aBASARM
218	52322 13366	   	197.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUR|2CDMG|3DMG|4TLV|5RCR|6FEWX|7LHND|8VULN|9ASPD|aBASARM
219	13236 21426	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7LHND|8LWND|9MLV|aASPD
220	13236 21436	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7LHND|8LWND|9CGEN|aASPD
221	13236 21526	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7LHND|8FEWX|9MLV|aASPD
222	13236 21616	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7LHND|8RMIN|9FEWX|aASPD
223	13236 24116	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8DUR|9FEWX|aASPD
224	13236 24632	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7aCGEN|8FEWX|9ASPD
225	13236 24633	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8FEWX|9ASPD|aLIT
226	13116 21136	 * 	197.92	ACR|1BASARM|1DMG|1BASICY|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8BELT|9DLOT|aBASICY
227	13116 21216	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8AAC|9FEWX|aASPD
228	13116 21316	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8ERES|9FEWX|aASPD
229	13116 21627	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8RMIN|9MBVNT|aASPD
230	13116 23116	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8DUR|9FEWX|aASPD
231	13116 23462	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|38ZMB|4CDMG|5BASARM|6DMG|7TLV|9ASPD|aFEWX
232	13116 23563	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8CGEN|9ASPD|aLWND
233	13116 24127	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8DUR|9MBVNT|aASPD
234	13116 24263	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8AME|9ASPD|aLWND
235	13116 24331	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aRMIN
236	13116 24332	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7aCGEN|8MBVNT|9ASPD
237	13116 24333	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aLIT
238	13116 24334	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aLHND
239	13116 25162	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8RMIN|9ASPD|aFEWX
240	13116 25363	   	197.92	ACR|1BASARM|1DMG|1ASPD|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8aLWND|9ASPD
241	13116 25632	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7AEFBLL|8LHND|9LIT|aASPD
242	13116 34126	   	197.92	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|3ZMB|49CDMG|5BASARM|6FEWX|7LWND|8BEXP|aASPD
243	13116 36432	   	197.92	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|3ZMB|48CDMG|5BASARM|6FEWX|7BEXP|9ASPD|aCGEN
244	13121 16164	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	15AEMAG|2RCR|345ZMB|5BPWR|6SNIFST|7BEXP|8BASARM|9ASPD|aDMG
245	13411 14118	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	15AEMAG|2RCR|35LHND|4MBVNT|5BPWR|6CGEN|7ASPD|8BASARM|9AART|aDMG
246	13433 41362	   	197.90	ACR|2VULN|2DMG|1ASPD|1CDMG	1AEMAG|2RCR|3LHND|4MDPS|5CDMG|69DMG|7ASPD|8aVULN
247	32322 32466	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2CDMG|3DMG|4TLV|5RCR|6LHND|7VULN|8LWND|9ASPD|aBASARM
248	32322 34366	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUST|2CDMG|3DMG|4TLV|5RCR|6LHND|7DUR|8VULN|9ASPD|aBASARM
249	52322 33366	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1DUR|2CDMG|3DMG|4TLV|5RCR|6LHND|7LEGI|8VULN|9ASPD|aBASARM
250	32452 26223	   	197.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2CDMG|3VULN|4RCR|5LHND|6AART|7RPLT|8BELT|9BASARM|aDMG
251	32453 26223	   	197.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2CDMG|3VULN|4RCR|5LWND|6AART|7RPLT|8BELT|9BASARM|aDMG
252	13236 21136	   	197.82	ACR|1BASARM|1DMG|1BASICY|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7LHND|8BELT|9DLOT|aBASICY
253	13236 21232	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|48AAC|5BASARM|6DMG|7LHND|9LIT|aASPD
254	13236 21332	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7LHND|8AEFBLL|9LIT|aASPD
255	13236 21627	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7LHND|8RMIN|9MBVNT|aASPD
256	13236 23116	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7TLV|8DUR|9FEWX|aASPD
257	13236 24127	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8DUR|9MBVNT|aASPD
258	13236 24331	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aRMIN
259	13236 24332	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7aCGEN|8MBVNT|9ASPD
260	13236 24333	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aLIT
261	13236 24334	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8MBVNT|9ASPD|aLHND
262	13236 24631	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7CGEN|8FEWX|9ASPD|aMDPS
263	13236 25162	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7AEFBLL|8RMIN|9ASPD|aFEWX
264	13236 25632	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3CDMG|4AAC|5BASARM|6DMG|7AEFBLL|8LHND|9LIT|aASPD
265	13236 34126	   	197.82	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|39CDMG|4AAC|5BASARM|6FEWX|7LWND|8BEXP|aASPD
266	13236 36432	   	197.82	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|38CDMG|4AAC|5BASARM|6FEWX|7BEXP|9ASPD|aCGEN
267	13242 43521	   	197.82	ACR|1BASARM|2CDMG|1DMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5MDPS|6DMG|7LWND|8MLV|9BASARM
268	13242 61221	   	197.82	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5MDPS|6CGEN|7ASPD|8LHND|9BASARM
269	13242 61421	   	197.82	ACR|1BASARM|1ASPD|2CDMG|1BEXP	1AEMAG|2RCR|3aCDMG|4BEXP|5MDPS|6CGEN|7ASPD|8LWND|9BASARM
270	13116 21227	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8AAC|9MBVNT|aASPD
271	13116 21327	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7LHND|8ERES|9MBVNT|aASPD
272	13116 23127	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8DUR|9MBVNT|aASPD
273	13116 23263	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8AME|9ASPD|aLWND
274	13116 23264	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8AME|9ASPD|aDUR
275	13116 23266	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8AME|9ASPD|aBELT
276	13116 23331	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aRMIN
277	13116 23332	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aCGEN
278	13116 23338	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9ASPD|aDUR
279	13116 23387	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8MBVNT|9LWND|aASPD
280	13116 23463	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|38ZMB|4CDMG|5BASARM|6DMG|7aTLV|9ASPD
281	13116 23561	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8CGEN|9ASPD|aSPLARM
282	13116 23616	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7TLV|8LEGI|9FEWX|aASPD
283	13116 24261	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8AME|9ASPD|aSPLARM
284	13116 24327	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AEMAG|2RCR|3ZMB|4CDMG|5BASARM|6DMG|7CGEN|8MBVNT|9DUST|aASPD
