0	Index      	 *	Score 	Summary	Detail	
1	11613 55213	 * 	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|79VULN|8DMG|aASPD
158	14311 31313	   	187.52	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|23DMG|4aVULN|5DUR|68ERES|7RCR|9ASPD
159	14311 31513	   	187.52	DCR|2VULN|2DMG|1ASPD|1DUR	18DUST|23DMG|4aVULN|5DUR|6ERES|7RCR|9ASPD
160	11611 36431	 * 	187.42	DCR|3DMG|1AART|1ASPD|1ZMB|1DUR	18DUST|28BEXP|3ZMB|4AART|5DUR|678DMG|8BPWR|9ASPD|aRCR
161	12415 26233	   	187.36	DCR|2AART|1VULN|1ASPD|1DMG|1DUR|1SELL	1DUST|2ASPD|3LWND|4DUR|5DMG|6VULN|7SELL|8RCR|9aAART
162	62115 26233	   	187.36	DCR|2AART|1VULN|1ASPD|1DMG|1DUR|1SELL	1LWND|2ASPD|3DUST|4DUR|5DMG|6VULN|7SELL|8RCR|9aAART
163	12352 25632	   	187.27	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7AME|8RCR|9DUR|aRCVC
164	12345 34322	   	187.21	DCR|3VULN|1ASPD|1DMG|2DUR	1DUST|2ASPD|3DMG|46DUR|589VULN|7LIT|aRCR
165	14316 36223	   	187.20	DCR|1MDPS|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|23DMG|4VULN|5MDPS|6AART|7RCR|8CGEN|9DUR|aCDMG
166	12352 21632	   	187.17	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|9DUR|aRCVC
167	12352 26632	   	187.17	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7ERES|8RCR|9DUR|aRCVC
168	12355 21632	   	187.17	DCR|3VULN|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|456VULN|7TLV|8RCR|9DUR|aRCVC
169	64225 32323	   	187.13	DCR|2VULN|2DMG|1AART	1LWND|25DMG|3RMIN|4LIT|6RCR|79VULN|8RCVC|aAART
170	14316 36123	   	187.10	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1DUR	1DUST|23DMG|4VULN|5MDPS|6AART|7RCR|8ERES|9DUR|aCDMG
171	12345 34122	   	186.96	DCR|2VULN|2DMG|1ASPD|2DUR	1DUST|2ASPD|38DMG|46DUR|59VULN|7LIT|aRCR
172	15332 41412	   	186.94	DCR|3VULN|3ASPD	1aDUST|24CGEN|34aVULN|4aBPWR|5aBEXP|689ASPD|7RCR
173	15333 41412	   	186.94	DCR|3VULN|3ASPD	1aDUST|24CGEN|34aVULN|4aBPWR|5aFEWX|689ASPD|7RCR
174	21165 31412	   	186.94	DCR|3VULN|3ASPD	1LEGI|2aFEWX|3aCGEN|46aVULN|589ASPD|7RCR|aBPWR
175	13355 22335	 * 	186.59	DCR|3VULN|3DMG|1SELL	1DUST|2RMIN|379DMG|456VULN|8SELL|aRCR
176	14311 31351	   	186.50	DCR|3DMG|1VULN|1AART|1DUR	1DUST|239DMG|4VULN|5DUR|68ERES|7RCR|aAART
177	14311 31551	   	186.50	DCR|3DMG|1VULN|1AART|1DUR	18DUST|239DMG|4VULN|5DUR|6ERES|7RCR|aAART
178	62513 36121	   	186.48	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	19LWND|2ASPD|39LHND|4DUR|5FEWX|6RCR|79VULN|8AART|9BPWR|aZMB
179	62611 36121	   	186.48	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	19LWND|2ASPD|39FEWX|4DUR|5LHND|6RCR|79VULN|8AART|9BPWR|aZMB
180	16111 41412	   	186.26	DCR|3ASPD|2VULN|2DUR	1aDUST|2RCVC|3CGEN|4aVULN|5aDUR|689ASPD|7RCR|aBPWR
181	16211 41412	   	186.26	DCR|3ASPD|2VULN|2DUR	1aDUST|2RCVC|3MLV|4aVULN|5aDUR|689ASPD|7RCR|aBPWR
182	61311 41161	 * 	186.15	DCR|3VULN|1MDPS|1DMG|1CDMG|1DUR	1LWND|2BEXP|35aVULN|4MDPS|6RCR|7CDMG|8DMG|9DUR
183	12352 25631	   	185.96	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7AME|8RCR|9DUR|aCGEN
184	15331 41611	   	185.88	DCR|2VULN|2ASPD|1CDMG|2DUR	1DUST|24CGEN|34VULN|4BPWR|58DUR|69ASPD|7RCR|aCDMG
185	61325 33532	   	185.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2BEXP|3VULN|4AART|5CDMG|6ASPD|7DUR|8LHND|9RCR|aDMG
186	12345 21312	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|4DUR|56aVULN|7MDPS|8RCR|9LWND
187	12345 21352	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|4DUR|56aVULN|7MDPS|8RCR|9CGEN
188	12352 11312	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|45aVULN|5BPWR|6DUR|7MDPS|8RCR|9LWND
189	12352 11352	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|45aVULN|5BPWR|6DUR|7MDPS|8RCR|9CGEN
190	12354 21342	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|46aVULN|5BEXP|7MDPS|8RCR|9DUR
191	12355 11312	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|45aVULN|6DUR|7MDPS|8RCR|9LWND
192	12355 11352	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|45aVULN|6DUR|7MDPS|8RCR|9CGEN
193	12352 21631	   	185.86	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|9DUR|aCGEN
194	12352 21635	   	185.86	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|9DUR|aDMSP
195	12352 26631	   	185.86	DCR|3VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7ERES|8RCR|9DUR|aCGEN
196	12352 41342	   	185.86	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|45aVULN|5BPWR|6BEXP|7MDPS|8RCR|9DUR
197	12355 21631	   	185.86	DCR|3VULN|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|456VULN|7TLV|8RCR|9DUR|aCGEN
198	62411 23622	   	185.79	DCR|2VULN|2ASPD|1DMG|2DUR|1AAC	137LWND|28ASPD|48VULN|58DUR|6AAC|8BPWR|9RCR|aDMG
199	61325 33132	   	185.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2BEXP|3VULN|4AART|5CDMG|6ASPD|7DUR|8DUST|9RCR|aDMG
200	12352 21636	   	185.76	DCR|3VULN|1ASPD|1DMG|1DUR|1SELL	15DUST|2ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|9DUR|aSELL
201	23355 31633	   	185.67	DCR|4VULN|1ASPD|1ZMB	1LEGI|2LWND|3ERES|4ASPD|568aVULN|7RCR|9ZMB
202	22611 44322	   	185.67	DCR|3VULN|1ASPD|1DMG|1DUR	1LEGI|2RCVC|3DMG|489VULN|5DUR|6ASPD|7LIT|aRCR
203	12345 21311	 * 	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUST|2ASPD|3aDMG|4DUR|56VULN|7MDPS|8RCR|9LWND
204	12352 11311	   	185.62	DCR|2VULN|1MDPS|2DMG|1ASPD|1DUR	15DUST|2ASPD|3aDMG|45VULN|5BPWR|6DUR|7MDPS|8RCR|9LWND
205	12354 21341	   	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUST|2ASPD|3aDMG|46VULN|5BEXP|7MDPS|8RCR|9DUR
206	12355 11311	   	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUST|2ASPD|3aDMG|45VULN|6DUR|7MDPS|8RCR|9LWND
207	14311 41312	   	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUST|23DMG|4aVULN|5DUR|6ASPD|7MDPS|8RCR|9LWND
208	14311 41352	   	185.62	DCR|2VULN|1MDPS|2DMG|1ASPD|1DUR	1DUST|23DMG|4aVULN|5DUR|6ASPD|7MDPS|8RCR|9CGEN
209	14312 41342	   	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUST|23DMG|4aVULN|5BEXP|6ASPD|7MDPS|8RCR|9DUR
210	14313 41342	   	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUST|23DMG|4aVULN|5FEWX|6ASPD|7MDPS|8RCR|9DUR
211	14316 23342	   	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUST|23DMG|4aVULN|5MDPS|6FEWX|7ASPD|8RCR|9DUR
212	12352 41341	   	185.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	15DUST|2ASPD|3aDMG|45VULN|5BPWR|6BEXP|7MDPS|8RCR|9DUR
213	13354 21431	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2RMIN|3DMG|46VULN|5BEXP|7RCR|8ASPD|9AME|aAART
214	13354 21631	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2RMIN|3DMG|46VULN|5BEXP|7RCR|8CGEN|9ASPD|aAART
215	12116 36322	 * 	185.50	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE	139DUST|2ASPD|49VULN|5MDPS|6AART|7RCR|89LWND|9BPWR|aNUKE
216	12116 36522	   	185.50	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE	139DUST|2ASPD|49VULN|5MDPS|6AART|7RCR|89LHND|9BPWR|aNUKE
217	12313 24354	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2ASPD|3DMG|4TLV|5BELT|6aVULN|7RCR|8RPLT|9AART
218	13354 21331	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2RMIN|3DMG|46VULN|5BEXP|7RCR|8ERES|9ASPD|aAART
219	13355 41331	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1DUST|2RMIN|3DMG|45VULN|6BEXP|7RCR|8ERES|9ASPD|aAART
220	14116 36322	 * 	185.50	DCR|2VULN|1MDPS|1AART|1DMG|1NUKE	139DUST|2DMG|49VULN|5MDPS|6AART|7RCR|89LWND|9BPWR|aNUKE
221	54225 32322	 * 	185.49	DCR|3VULN|1MDPS|2DMG	1BEXP|25DMG|3RMIN|4LIT|6RCR|789VULN|aMDPS
222	22611 44122	   	185.42	DCR|2VULN|2DMG|1ASPD|1DUR	1LEGI|2RCVC|38DMG|49VULN|5DUR|6ASPD|7LIT|aRCR
223	12116 36163	   	185.30	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	13DUST|2ASPD|49VULN|5MDPS|6AART|7RCR|8ERES|aDMG
224	64225 32223	   	185.23	DCR|2VULN|2DMG|1AART	18LWND|25DMG|3RMIN|4LIT|6RCR|79VULN|aAART
225	54221 32631	   	185.23	DCR|2VULN|2DMG|1AART	1BEXP|2aDMG|3RMIN|4LIT|5AELBLL|6RCR|79VULN|8AART
226	64221 32123	   	185.23	DCR|2VULN|2DMG|1AART	1LWND|28DMG|3RMIN|4LIT|5AELBLL|6RCR|79VULN|aAART
227	22642 32342	   	185.12	DCR|2VULN|2DMG|1ASPD	1LEGI|2RCVC|3aDMG|4LIT|5AME|6RCR|78VULN|9ASPD
228	14311 12264	   	185.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	18DUST|23DMG|4VULN|5DUR|6AART|7ASPD|9RPLT|aRCR
229	62221 32123	   	184.91	DCR|2DMG|1VULN|1AART|1ASPD	1LWND|2ASPD|3RMIN|4LIT|5AELBLL|6RCR|7VULN|89DMG|aAART
230	62442 32123	   	184.91	DCR|2DMG|1VULN|1AART|1ASPD	13LWND|2ASPD|4LIT|5AME|6RCR|7VULN|89DMG|aAART
231	64221 32143	   	184.91	DCR|2DMG|1VULN|1AART|1ASPD	1LWND|28DMG|3RMIN|4LIT|5AELBLL|6RCR|7VULN|9ASPD|aAART
232	12363 25531	 * 	184.90	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG	1DUST|2ASPD|3DMG|4CGEN|5BELT|6VULN|7aCDMG|8AART|9RCR
233	12313 25531	   	184.80	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1DUST|2ASPD|3DMG|4TLV|5BELT|6VULN|7aCDMG|8AART|9RCR
234	12326 12322	   	184.77	DCR|3VULN|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|4LIT|5RCVC|6DUR|789VULN|aRCR
235	12326 12342	   	184.52	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|2ASPD|39DMG|4LIT|5RCVC|6DUR|78VULN|aRCR
236	12326 12122	   	184.52	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|2ASPD|38DMG|4LIT|5RCVC|6DUR|79VULN|aRCR
237	12326 16622	   	184.52	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|2ASPD|37DMG|4LIT|5RCVC|6DUR|89VULN|aRCR
238	14346 23223	   	184.42	DCR|3DMG|1VULN|1CDMG|2DUR	1DUST|23aDMG|4LIT|58DUR|6CDMG|7RCR|9VULN
239	12344 34212	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3DMG|4DUR|5BEXP|6CDMG|79VULN|8RCR|aLHND
240	12344 34213	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3DMG|4DUR|5BEXP|6CDMG|79VULN|8RCR|aRMIN
241	12415 34212	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3LWND|4DUR|5DMG|6CDMG|79VULN|8RCR|aLHND
242	12415 34213	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3LWND|4DUR|5DMG|6CDMG|79VULN|8RCR|aRMIN
243	54342 11212	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2DMG|3CDMG|4DUR|5DUST|69VULN|7ASPD|8RCR|aLHND
244	54342 11213	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2DMG|3CDMG|4DUR|5DUST|69VULN|7ASPD|8RCR|aRMIN
245	62115 34212	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|79VULN|8RCR|aLHND
246	62115 34213	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|79VULN|8RCR|aRMIN
247	64352 11212	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2DMG|3CDMG|4DUR|5DUST|69VULN|7ASPD|8RCR|aLHND
248	64352 11213	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2DMG|3CDMG|4DUR|5DUST|69VULN|7ASPD|8RCR|aRMIN
249	32353 51215	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|2FEWX|3CDMG|4DUR|59VULN|6MBVNT|7ASPD|8RCR|aDMG
250	32353 51216	 * 	184.38	DCR|2VULN|1ASPD|1NUKE|1CDMG|1DUR	1AME|2FEWX|3CDMG|4DUR|59VULN|6MBVNT|7ASPD|8RCR|aNUKE
251	33353 51215	   	184.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|2BEXP|3CDMG|4DUR|59VULN|6MBVNT|7ASPD|8RCR|aDMG
252	33353 51216	   	184.38	DCR|2VULN|1ASPD|1NUKE|1CDMG|1DUR	1AME|2BEXP|3CDMG|4DUR|59VULN|6MBVNT|7ASPD|8RCR|aNUKE
253	13345 21431	   	184.35	DCR|2VULN|2ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|4DUR|56VULN|7RCR|89ASPD|aCGEN
254	13345 21433	   	184.35	DCR|2VULN|2ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|4DUR|56VULN|7RCR|89ASPD|aFEWX
255	13355 11431	   	184.35	DCR|2VULN|2ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|45VULN|6DUR|7RCR|89ASPD|aCGEN
256	13355 11433	   	184.35	DCR|2VULN|2ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|45VULN|6DUR|7RCR|89ASPD|aFEWX
257	16111 41411	   	184.31	DCR|3ASPD|1AART|1VULN|1DUR	1DUST|2RCVC|3CGEN|4VULN|5DUR|689ASPD|7RCR|aAART
258	16211 41411	   	184.31	DCR|3ASPD|1VULN|1AART|1DUR	1DUST|2RCVC|3MLV|4VULN|5DUR|689ASPD|7RCR|aAART
259	62352 13214	   	184.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1LWND|2ASPD|3CDMG|4DUR|5DUST|69VULN|7AAC|8RCR|aDMG
260	62352 13215	   	184.28	DCR|2VULN|1ASPD|1NUKE|1CDMG|1AAC|1DUR	1LWND|2ASPD|3CDMG|4DUR|5DUST|69VULN|7AAC|8RCR|aNUKE
