0	Index      	 *	Score 	Summary	Detail	
1	66151 32333	 * 	204.96	ACR|4VULN|2DMG|2DUR|1ZMB|1ASPD	1RCR|278aVULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9ZMB
164	63331 12651	   	177.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2TLV|3ZMB|4ERES|57VULN|6AART|8LIT|9DMG|aCDMG
165	66231 35124	   	177.19	ACR|4VULN|1AART|1CDMG	1RCR|269aVULN|3LHND|4AART|5CDMG|7ERES|8MBVNT
166	61431 15211	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|3BEXP|469VULN|5ZMB|7LHND|8DMG|aAART
167	61431 52311	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|3BEXP|489VULN|5ZMB|6DMG|7LHND|aAART
168	61511 11211	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|369VULN|4LHND|5ZMB|7FEWX|8DMG|aAART
169	61511 13211	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|369VULN|4LHND|5ZMB|7BEXP|8DMG|aAART
170	61511 36213	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|379VULN|4LHND|5ZMB|6LWND|8DMG|aAART
171	64511 11211	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|369VULN|4LHND|5ZMB|7FEWX|8DMG|aAART
172	64511 13211	   	177.10	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|369VULN|4LHND|5ZMB|7BEXP|8DMG|aAART
173	66531 33122	   	177.09	ACR|4VULN|1AART|1CDMG	1RCR|269aVULN|38DUST|4AART|5CDMG|7DLOT
174	62331 31516	   	177.01	ACR|1AART|1DMG|2CDMG|1VULN|1FLTHEA|1ASPD	1RCR|2LHND|3BEXP|4AART|5aCDMG|6VULN|7FLTHEA|8DMG|9ASPD
175	66262 11223	 * 	177.00	ACR|2AART|1VULN|1DMG|3DUR|1CDMG	1RCR|2VULN|3LHND|47aDUR|56AART|8DMG|9CDMG
176	61231 14324	   	177.00	ACR|3VULN|1AART|2CDMG|1ZMB	1RCR|29MLV|3DUST|469VULN|5ZMB|7CANSTR|89CDMG|9BPWR|aAART
177	61231 15211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|3DUST|469VULN|5ZMB|7LHND|8DMG|aAART
178	61431 12211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|3BEXP|469VULN|5ZMB|7DUST|8DMG|aAART
179	61431 13211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|3BEXP|469VULN|5ZMB|7MBVNT|8DMG|aAART
180	62631 11211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2LHND|3ERES|469VULN|5ZMB|7FEWX|8DMG|aAART
181	62631 13211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2LHND|3ERES|469VULN|5ZMB|7BEXP|8DMG|aAART
182	63326 52311	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4FEWX|5LWND|6DMG|789VULN|aAART
183	63363 52311	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4LWND|5FEWX|6DMG|789VULN|aAART
184	63411 52311	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3BEXP|4LWND|5ZMB|6DMG|789VULN|aAART
185	63431 15211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3BEXP|469VULN|5ZMB|7LHND|8DMG|aAART
186	63431 52311	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3BEXP|489VULN|5ZMB|6DMG|7LHND|aAART
187	63511 11211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|369VULN|4LHND|5ZMB|7FEWX|8DMG|aAART
188	63511 13211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|369VULN|4LHND|5ZMB|7BEXP|8DMG|aAART
189	64231 15211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3DUST|469VULN|5ZMB|7LHND|8DMG|aAART
190	64431 12211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3BEXP|469VULN|5ZMB|7DUST|8DMG|aAART
191	64431 13211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3BEXP|469VULN|5ZMB|7MBVNT|8DMG|aAART
192	66611 11211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|269VULN|3ERES|4LHND|5ZMB|7FEWX|8DMG|aAART
193	66611 13211	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|269VULN|3ERES|4LHND|5ZMB|7BEXP|8DMG|aAART
194	66131 43131	 * 	176.96	ACR|5VULN|1CDMG|1FLTHEA	1RCR|2679aVULN|3RPLT|4FLTHEA|5DUST|8CDMG
195	66132 23131	   	176.96	ACR|5VULN|1CDMG|1FLTHEA	1RCR|2579aVULN|3RPLT|4FLTHEA|6DUST|8CDMG
196	66212 12233	   	176.96	ACR|4VULN|1DMG|2CDMG	1RCR|267aVULN|35LHND|45CDMG|5BPWR|8DUST|9DMG
197	66231 11223	   	176.94	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|29aVULN|3LHND|4AART|5CDMG|6LWND|7FLTHEA|8CGEN
198	66331 11223	   	176.94	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|29aVULN|3FEWX|4AART|5CDMG|6LWND|7FLTHEA|8CGEN
199	66431 11223	   	176.94	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|29aVULN|3BEXP|4AART|5CDMG|6LWND|7FLTHEA|8CGEN
200	62331 31223	   	176.94	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|69aVULN|7FLTHEA|8CGEN
201	62331 31424	   	176.94	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|29LHND|3BEXP|4AART|5CDMG|68aVULN|7FLTHEA
202	62531 31336	   	176.91	ACR|1AART|1DMG|2CDMG|1VULN|1FLTHEA|1ASPD	1RCR|2LHND|3DUST|4AART|58CDMG|6VULN|7FLTHEA|9ASPD|aDMG
203	63431 12211	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3BEXP|469VULN|5ZMB|7DUST|8DMG|aAART
204	63431 13211	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3BEXP|469VULN|5ZMB|7MBVNT|8DMG|aAART
205	16351 12343	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1TLV|2RCR|3ZMB|4MLV|578VULN|6AART|9MBVNT|aDMG
206	26351 12343	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2RCR|3ZMB|4MLV|578VULN|6AART|9MBVNT|aDMG
207	46331 12343	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2RCR|3ZMB|4ERES|578VULN|6AART|9MBVNT|aDMG
208	46331 12363	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2RCR|3ZMB|49ERES|578VULN|6AART|aDMG
209	63231 15211	   	176.90	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3DUST|469VULN|5ZMB|7LHND|8DMG|aAART
210	62531 31223	   	176.84	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|2LHND|3DUST|4AART|5CDMG|69aVULN|7FLTHEA|8CGEN
211	62531 31423	   	176.84	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|2LHND|3DUST|4AART|5CDMG|68aVULN|7FLTHEA|9RMIN
212	66531 11223	   	176.84	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCR|29aVULN|3DUST|4AART|5CDMG|6LWND|7FLTHEA|8CGEN
213	16331 12343	   	176.80	ACR|3VULN|1AART|1DMG|1ZMB	1TLV|2RCR|3ZMB|4ERES|578VULN|6AART|9MBVNT|aDMG
214	63231 14324	   	176.80	ACR|3VULN|1AART|2CDMG|1ZMB	1RCR|29TLV|3DUST|469VULN|5ZMB|7CANSTR|89CDMG|9BPWR|aAART
215	61231 55221	   	176.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2MLV|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aFEWX
216	61231 55222	   	176.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2MLV|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aCGEN
217	66231 33423	   	176.74	ACR|3VULN|1AART|2CDMG|1DUR	1RCR|268VULN|3LHND|4AART|58CDMG|78CGEN|8BPWR|9LWND|aDUR
218	66231 33432	   	176.74	ACR|3VULN|1AART|2CDMG|1ASPD	1RCR|268VULN|3LHND|4AART|58CDMG|78CGEN|8BPWR|9ASPD|aLWND
219	66331 33432	   	176.74	ACR|3VULN|1AART|2CDMG|1ASPD	1RCR|268VULN|3FEWX|4AART|58CDMG|78CGEN|8BPWR|9ASPD|aLWND
220	62312 35263	 * 	176.71	ACR|3VULN|1DMG|2CDMG|1FLTHEA	1RCR|28LHND|38BEXP|49CDMG|5FLTHEA|678VULN|8BPWR|aDMG
221	63231 55221	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2TLV|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aFEWX
222	63231 55222	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2TLV|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aCGEN
223	66231 33431	   	176.64	ACR|3VULN|1AART|2CDMG|1ASPD	1RCR|268VULN|3LHND|4AART|58CDMG|78CGEN|8BPWR|9ASPD|aBASHEA
224	66231 33433	   	176.64	ACR|3VULN|1AART|2CDMG|1ASPD	1RCR|268VULN|3LHND|4AART|58CDMG|78CGEN|8BPWR|9ASPD|aVENICY
225	66331 33431	   	176.64	ACR|3VULN|1AART|2CDMG|1ASPD	1RCR|268VULN|3FEWX|4AART|58CDMG|78CGEN|8BPWR|9ASPD|aBASHEA
226	66331 33433	   	176.64	ACR|3VULN|1AART|2CDMG|1ASPD	1RCR|268VULN|3FEWX|4AART|58CDMG|78CGEN|8BPWR|9ASPD|aVENICY
227	16526 11121	   	176.48	ACR|3VULN|3CDMG|1AART|1DUR	1TLV|2RCR|358VULN|467CDMG|9DUR|aAART
228	26526 11121	   	176.48	ACR|3VULN|3CDMG|1AART|1DUR	1ERES|2RCR|358VULN|467CDMG|9DUR|aAART
229	61526 11221	   	176.45	ACR|2VULN|3CDMG|1AART|1DMG	1RCR|2MLV|35VULN|467CDMG|8DMG|9CGEN|aAART
230	63526 11221	   	176.35	ACR|2VULN|3CDMG|1AART|1DMG	1RCR|2TLV|35VULN|467CDMG|8DMG|9CGEN|aAART
231	61532 12313	   	176.19	ACR|4VULN|1AART|1CDMG	1RCR|2MLV|3478VULN|59LWND|6AART|aCDMG
232	61532 12353	   	176.19	ACR|4VULN|1AART|1CDMG	1RCR|2MLV|3478VULN|5LWND|6AART|9DMSP|aCDMG
233	61532 12363	   	176.19	ACR|4VULN|1AART|1CDMG	1RCR|2MLV|3478VULN|5LWND|6AART|9RCVC|aCDMG
234	66262 12132	 * 	176.10	ACR|3AART|2VULN|1DMG|1DUR	1RCR|2aVULN|3LHND|4DUR|567AART|8CGEN|9DMG
235	63532 12313	   	176.09	ACR|4VULN|1AART|1CDMG	1RCR|2TLV|3478VULN|59LWND|6AART|aCDMG
236	63532 12353	   	176.09	ACR|4VULN|1AART|1CDMG	1RCR|2TLV|3478VULN|5LWND|6AART|9DMSP|aCDMG
237	63532 12363	   	176.09	ACR|4VULN|1AART|1CDMG	1RCR|2TLV|3478VULN|5LWND|6AART|9RCVC|aCDMG
238	66632 12313	   	176.09	ACR|4VULN|1AART|1CDMG	1RCR|2478VULN|3ERES|59LWND|6AART|aCDMG
239	36221 12333	 * 	176.04	DCR|3VULN|1AART|1DMG|2CDMG	1RPLT|2LHND|34CDMG|578VULN|6AART|9RCR|aDMG
240	66212 14313	 * 	175.87	ACR|5VULN|3CDMG	1RCR|2689aVULN|35LHND|457CDMG|5BPWR
241	61532 12321	   	175.57	ACR|5VULN|1AART	1RCR|29MLV|34789VULN|59aLWND|6AART|9BPWR
242	61532 12324	   	175.57	ACR|5VULN|1AART	1RCR|29MLV|34789VULN|59LWND|6AART|9BPWR|aLIT
243	61532 12326	   	175.57	ACR|5VULN|1AART	1RCR|29MLV|34789VULN|59LWND|6AART|9BPWR|aRMIN
244	64532 12321	   	175.57	ACR|5VULN|1AART	1RCR|29CGEN|34789VULN|59aLWND|6AART|9BPWR
245	61532 12322	   	175.47	ACR|5VULN|1AART	1RCR|29MLV|34789VULN|59LWND|6AART|9BPWR|aERES
246	64532 12322	   	175.47	ACR|5VULN|1AART	1RCR|29CGEN|34789VULN|59LWND|6AART|9BPWR|aERES
247	63532 12321	   	175.37	ACR|5VULN|1AART	1RCR|29TLV|34789VULN|59aLWND|6AART|9BPWR
248	63532 12324	   	175.37	ACR|5VULN|1AART	1RCR|29TLV|34789VULN|59LWND|6AART|9BPWR|aLIT
249	63532 12326	   	175.37	ACR|5VULN|1AART	1RCR|29TLV|34789VULN|59LWND|6AART|9BPWR|aRMIN
250	66632 12321	   	175.37	ACR|5VULN|1AART	1RCR|24789VULN|39ERES|59aLWND|6AART|9BPWR
251	64532 12213	   	175.34	ACR|3VULN|1AART|1DMG|1DUR	1RCR|2CGEN|347VULN|5LWND|6AART|8DUR|9DUST|aDMG
252	63532 12322	   	175.27	ACR|5VULN|1AART	1RCR|29TLV|34789VULN|59LWND|6AART|9BPWR|aERES
253	66632 12322	   	175.27	ACR|5VULN|1AART	1RCR|24789VULN|39aERES|59LWND|6AART|9BPWR
254	66135 13131	   	175.24	ACR|4VULN|1CDMG|1FLTHEA|1ZMB	1RCR|279aVULN|3RPLT|4FLTHEA|5CGEN|6ZMB|8CDMG
255	63532 12213	   	175.24	ACR|3VULN|1AART|1DMG|1DUR	1RCR|2TLV|347VULN|5LWND|6AART|8DUR|9DUST|aDMG
256	66632 12213	   	175.24	ACR|3VULN|1AART|1DMG|1DUR	1RCR|247VULN|3ERES|5LWND|6AART|8DUR|9DUST|aDMG
257	61526 33323	   	175.14	ACR|4VULN|2ASPD|1CDMG|1ZMB	1RCR|2MLV|359aVULN|4CDMG|68ASPD|7ZMB
258	66231 11531	   	175.11	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	1RCR|2VULN|3LHND|4aAART|5CDMG|6LWND|7FLTHEA|8DMG|9ERES
259	66331 11531	   	175.11	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	1RCR|2VULN|3FEWX|4aAART|5CDMG|6LWND|7FLTHEA|8DMG|9ERES
260	62331 31531	   	175.11	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	1RCR|2LHND|3BEXP|4aAART|5CDMG|6VULN|7FLTHEA|8DMG|9ERES
261	62531 31432	   	175.06	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ASPD|1DUR	1RCR|2LHND|3DUST|4AART|5CDMG|68VULN|7FLTHEA|9ASPD|aDUR
262	66331 51233	   	175.06	ACR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	1RCR|28VULN|3FEWX|4AART|5CDMG|6DUR|7FLTHEA|9SNIHEL|aASPD
263	63526 33323	   	175.04	ACR|4VULN|2ASPD|1CDMG|1ZMB	1RCR|2TLV|359aVULN|4CDMG|68ASPD|7ZMB
264	62531 31531	   	175.01	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	1RCR|2LHND|3DUST|4aAART|5CDMG|6VULN|7FLTHEA|8DMG|9ERES
265	62362 15131	   	174.97	ACR|2VULN|2DMG|1AART|1DUR	1RCR|2LHND|3BEXP|4DUR|5MLV|67DMG|89VULN|aAART
