0	Index      	 *	Score 	Summary	Detail	
1	53223 13143	 * 	228.71	ACR|4VULN|3DMG|1AART|3ASPD	1489VULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI|aAART
176	51326 31351	   	199.51	DCR|3VULN|3DMG|3ZMB	149VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|789ZMB|aCGEN
177	51326 31352	   	199.51	DCR|3VULN|3DMG|3ZMB	149VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|789ZMB|aRMIN
178	51326 31354	   	199.51	DCR|3VULN|3DMG|3ZMB	149VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|789ZMB|aBEXP
179	53223 16112	   	199.48	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|24DMG|3RCR|4BPWR|5ASPD|6LEGI|7BEXP|8CDMG|aAART
180	53223 22112	   	199.48	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|24DMG|3RCR|4BPWR|5ASPD|6FEWX|7MBVNT|8CDMG|aAART
181	51532 41822	   	199.48	ACR|3DMG|2VULN|1AART|2ASPD	18VULN|2MBVNT|3RCR|48ASPD|5DUR|6LIT|789DMG|8BPWR|aAART
182	53223 12112	   	199.38	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|24DMG|3RCR|4BPWR|5ASPD|6LEGI|7MBVNT|8CDMG|aAART
183	53226 23413	   	199.33	ACR|3DMG|2VULN|1AART|1CDMG|1SELL	14VULN|245DMG|3RCR|4BPWR|6LWND|7CDMG|8SELL|9DUR|aAART
184	53223 54112	   	199.33	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|247DMG|3RCR|4BPWR|5ASPD|6AART|8FEWX|9BEXP|aZMB
185	12343 53215	 * 	199.26	DCR|4VULN|2AART|1DMG|2DUR	15AART|267aVULN|3DMG|49DUR|8RCR
186	53223 51242	   	199.23	ACR|3VULN|2DMG|1AART|1ZMB	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7TLV|9LWND|aZMB
187	53223 53142	   	199.23	ACR|3VULN|2DMG|1AART|1ZMB	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7ERES|9LWND|aZMB
188	53226 11111	   	199.19	ACR|4VULN|3DMG|1CDMG	1469VULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|aCGEN
189	53226 11115	   	199.19	ACR|4VULN|3DMG|1CDMG	1469VULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|aBEXP
190	53226 11116	   	199.19	ACR|4VULN|3DMG|1CDMG	1469VULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|aRPLT
191	53223 53232	   	199.15	ACR|2VULN|2DMG|1AART|3ASPD|1CDMG	14VULN|24DMG|3RCR|4BPWR|59aASPD|6AART|7ERES|8CDMG
192	53223 51222	   	199.13	ACR|3VULN|2DMG|1AART|1ZMB	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7TLV|9DUST|aZMB
193	53223 53122	   	199.13	ACR|3VULN|2DMG|1AART|1ZMB	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7ERES|9DUST|aZMB
194	53323 52623	   	199.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	18VULN|28DMG|3LIT|4AART|5RCR|6LHND|78DUR|8BPWR|9ZMB|aCDMG
195	53226 11113	   	199.09	ACR|4VULN|3DMG|1CDMG	1469VULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|aERES
196	53226 13422	   	199.09	ACR|4VULN|3DMG|1CDMG	1468VULN|245DMG|3RCR|4BPWR|7LSRREG|9CGEN|aCDMG
197	12346 53213	   	198.82	DCR|4VULN|1AART|1DMG|2DUR|1ZMB	1AART|2567VULN|3DMG|49DUR|8RCR|aZMB
