0	Index      	 *	Score 	Summary	Detail	
1	35442 21213	 * 	300.26	DCR|2VULN|2TLV|2LIT|2ASPD|1DMG	17TLV|26ASPD|37VULN|47LIT|5MDPS|7BPWR|8ERES|9RCR|aDMG
162	34133 31616	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|24LIT|3MLV|6MDPS|7RCR|8CDMG|9LHND|aVULN
163	34133 32213	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7ZMB|8VULN|9RCR|aASPD
164	34221 35512	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	17TLV|25LIT|3BEXP|4CDMG|6DUST|8RCR|9MLV|aVULN
165	34223 31512	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|27LIT|3BEXP|4CDMG|6DUST|8RCR|9MLV|aVULN
166	34133 33111	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8ASPD|9RCR|aLWND
167	34133 33112	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8ASPD|9RCR|aCGEN
168	34133 33115	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8ASPD|9RCR|aLHND
169	33541 31633	   	273.62	DCR|2VULN|2TLV|2LIT	18TLV|2RMIN|36BEXP|48LIT|58VULN|7RCR|8BPWR|9DUR|aBBNT
170	34133 31626	   	273.53	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|24LIT|3MLV|6MDPS|7RCR|8CDMG|9DUST|aVULN
171	34133 25262	   	273.53	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|24LIT|3MLV|6DUST|7VULN|8ERES|9RCR|aCDMG
172	34133 33116	   	273.53	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8ASPD|9RCR|aAME
173	34133 33413	   	273.53	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8ERES|9RCR|aASPD
174	33122 51251	   	273.47	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	19TLV|2RMIN|3MLV|4DMG|5LWND|6LIT|7RCR|8VULN|aCDMG
175	34113 33113	   	273.37	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1ASPD	15TLV|2LIT|3MLV|4RCVC|6MDPS|7VULN|8ASPD|9RCR|aDMG
176	34113 33613	   	273.37	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1ASPD	15TLV|2LIT|3MLV|4RCVC|6MDPS|7VULN|8DMG|9RCR|aASPD
177	35122 51251	   	273.37	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1ASPD	19TLV|2ASPD|3MLV|4DMG|5LWND|6LIT|7MDPS|8VULN|aRCR
178	35441 21322	   	273.34	DCR|2VULN|1TLV|1LIT|1MLV|2DUR|1ASPD|1CDMG	1TLV|2ASPD|35VULN|4LIT|6aDUR|7RCR|8MLV|9CDMG
179	32356 21232	   	273.16	DCR|2VULN|2TLV|1LIT|1DMG	15TLV|2LWND|3LIT|4DMG|6DUR|7RCR|8aVULN|9BBNT
180	34631 16321	   	273.16	DCR|2TLV|2LIT|1VULN|1ASPD|1CDMG	19TLV|24LIT|3ASPD|5VULN|6CDMG|7AART|8BBNT|aRCR
181	34133 31254	   	273.06	DCR|3TLV|2LIT|1VULN|1MLV|1CDMG	159TLV|24LIT|3MLV|6MDPS|7RCR|8VULN|aCDMG
182	34133 31244	   	273.01	DCR|2TLV|2LIT|2MLV|1VULN	15TLV|24LIT|3aMLV|6MDPS|7RCR|8VULN|9BEXP
183	34133 31266	   	273.01	DCR|2TLV|2LIT|2MLV|1VULN	15TLV|24LIT|3aMLV|6MDPS|7RCR|8VULN|9CGEN
184	34133 33416	   	272.91	DCR|2TLV|2LIT|2MLV|1VULN	15TLV|24LIT|3aMLV|6MDPS|7VULN|8ERES|9RCR
185	33441 21235	   	272.87	DCR|3VULN|1TLV|1LIT|1DMG|2DUR	1TLV|2RMIN|358VULN|4LIT|69DUR|7RCR|aDMG
186	31322 22456	   	272.73	DCR|2TLV|1LIT|1VULN|1MLV|1CDMG	1aTLV|2DUR|3LIT|4CDMG|5BBNT|6CGEN|7RCR|8VULN|9MLV
187	35441 21212	   	272.33	DCR|3VULN|1TLV|1LIT|1ASPD|1CDMG	1TLV|2ASPD|358VULN|4LIT|6DUR|7RCR|9ZMB|aCDMG
188	34131 61222	   	272.26	DCR|3LIT|2VULN|1TLV|1MLV	1TLV|249LIT|3MLV|58VULN|6LWND|7RCR|aTBNT
189	34131 21662	   	272.23	DCR|2VULN|2LIT|1TLV|1MLV|1CDMG	1TLV|24LIT|3MLV|5aVULN|6DUR|7RCR|8CDMG|9DMSP
190	34131 61231	   	272.23	DCR|2VULN|2LIT|1TLV|1MLV|1CDMG	1TLV|24LIT|3MLV|58VULN|6LWND|7RCR|9DUR|aCDMG
191	34131 64112	   	272.23	DCR|2VULN|2LIT|1TLV|1MLV|1ASPD	1TLV|24LIT|3MLV|5aVULN|6LWND|7DUR|8ASPD|9RCR
192	34131 21212	   	272.23	DCR|2VULN|2LIT|1TLV|1MLV|1CDMG	1TLV|24LIT|3MLV|58VULN|6DUR|7RCR|9ZMB|aCDMG
193	34131 21262	   	272.23	DCR|2VULN|2LIT|1TLV|1MLV|1CDMG	1TLV|24LIT|3MLV|58VULN|6DUR|7RCR|9AAC|aCDMG
194	34631 21214	   	272.23	DCR|2VULN|2LIT|1TLV|1MLV|1ASPD	1TLV|24LIT|3ASPD|58VULN|6DUR|7RCR|9ZMB|aMLV
195	33431 26123	 * 	272.20	DCR|2TLV|2MLV|2DMG|1VULN|1ASPD	1aTLV|2RMIN|3VULN|4aMLV|5LHND|6BELT|7ASPD|8aDMG|9RCR|aBPWR
196	33541 31621	   	272.07	DCR|3LIT|2VULN|2TLV	18TLV|2RMIN|36BEXP|489LIT|58VULN|7RCR|8BPWR|aCGEN
197	33541 31623	   	272.07	DCR|3LIT|2VULN|2TLV	18TLV|2RMIN|36BEXP|489LIT|58VULN|7RCR|8BPWR|aLWND
198	32368 25232	   	272.03	ACR|2VULN|2TLV|2LIT|2MLV	17TLV|2LWND|37LIT|4MBVNT|5RCR|67MLV|7BPWR|8aVULN|9BBNT
199	36411 32221	   	271.98	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1ASPD	1TLV|2BBNT|3RCVC|4DMG|5ASPD|6LIT|7MLV|89VULN|aRCR
200	35422 31423	   	271.66	DCR|DCR|1TLV|1VULN|1ASPD	1TLV|2ASPD|3VULN|4DUST|5DUR|6CGEN|7FEWX|89RCR|aBBNT
201	34131 21214	 * 	271.61	DCR|2VULN|2LIT|2MLV|1TLV	1TLV|24LIT|3aMLV|58VULN|6DUR|7RCR|9ZMB
202	34131 21264	   	271.61	DCR|2VULN|2LIT|2MLV|1TLV	1TLV|24LIT|3aMLV|58VULN|6DUR|7RCR|9AAC
203	34113 41262	   	271.52	DCR|2VULN|2TLV|1LIT|1MLV	15TLV|2LIT|3MLV|4RCVC|6TBNT|7LWND|8aVULN|9RCR
204	34113 43262	   	271.52	DCR|2VULN|2TLV|1LIT|1MLV	15TLV|2LIT|3MLV|4RCVC|6TBNT|7FEWX|8aVULN|9RCR
205	34113 26262	   	271.42	DCR|2VULN|2TLV|1LIT|1MLV	15TLV|2LIT|3MLV|4RCVC|6DUST|7TBNT|8aVULN|9RCR
206	33443 21235	   	271.27	DCR|2VULN|2TLV|1LIT|1DMG|2DUR	15TLV|2RMIN|38VULN|4LIT|69DUR|7RCR|aDMG
207	32351 41225	 * 	271.20	DCR|2VULN|2LIT|2DMG|1TLV	1TLV|2LWND|39LIT|4aDMG|58VULN|6DMSP|7RCR
208	34251 31225	   	271.20	DCR|2VULN|2LIT|1TLV|2DMG	1TLV|29LIT|36BEXP|4aDMG|58VULN|7RCR
209	33434 51223	 * 	271.06	DCR|3VULN|2LIT|1TLV|1MLV	1TLV|2RMIN|38aVULN|4MLV|5CGEN|69LIT|7RCR
210	42344 22322	 * 	270.98	DCR|2VULN|2LIT|1TLV|3DUR|1CDMG	19LHND|29VULN|357DUR|4CDMG|6TLV|89LIT|9BPWR|aRCR
211	54133 23363	   	270.96	DCR|3VULN|2LIT|1TLV|1MLV	14LIT|2AME|3MLV|5TLV|6RCR|78aVULN|9CGEN
212	33443 21322	   	270.84	DCR|2TLV|1LIT|1VULN|1MLV|2DUR|1CDMG	15TLV|2RMIN|3VULN|4LIT|6aDUR|7RCR|8MLV|9CDMG
213	32354 31612	 * 	270.81	DCR|3VULN|1TLV|1LIT|1MLV|1DMG	1TLV|2LWND|3LIT|4DMG|5MLV|68aVULN|7BEXP|9RCR
214	32351 35612	   	270.81	DCR|3VULN|1TLV|1LIT|1MLV|1DMG	1TLV|2LWND|3LIT|4DMG|58aVULN|6BEXP|7MLV|9RCR
215	31324 35512	   	270.74	DCR|2TLV|1LIT|1VULN|1MLV|2DUR|1CDMG	17TLV|25DUR|3LIT|4CDMG|6DUST|8RCR|9MLV|aVULN
216	23141 42313	 * 	270.65	DCR|DCR|2VULN|1MLV|1DMG	1DUST|2TBNT|3BBNT|4DMG|57VULN|68RCR|9DUR|aMLV
217	34631 61222	   	270.54	DCR|3LIT|2VULN|1TLV|1ASPD	1TLV|249LIT|3ASPD|58VULN|6LWND|7RCR|aTBNT
218	34631 61231	   	270.51	DCR|2VULN|2LIT|1TLV|1ASPD|1CDMG	1TLV|24LIT|3ASPD|58VULN|6LWND|7RCR|9DUR|aCDMG
219	34631 21212	   	270.51	DCR|2VULN|2LIT|1TLV|1ASPD|1CDMG	1TLV|24LIT|3ASPD|58VULN|6DUR|7RCR|9ZMB|aCDMG
220	34631 21262	   	270.51	DCR|2VULN|2LIT|1TLV|1ASPD|1CDMG	1TLV|24LIT|3ASPD|58VULN|6DUR|7RCR|9AAC|aCDMG
221	33143 21648	 * 	270.36	DCR|3MLV|2TLV|1LIT|1DMG|2DUR	1aTLV|2RMIN|39aMLV|4LIT|5DMG|6aDUR|7RCR|8MBVNT|aBPWR
222	32131 35425	   	270.31	DCR|DCR|1TLV|1VULN|1ASPD	1TLV|2LWND|3DUST|4ASPD|5CGEN|6VULN|7DUR|89RCR|aRPLT
