0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33131 43563	9	 * 	275.65	DCR|3VULN|3DUR|3TLV|1CDMG|1AART|1SELL	1RPLT|2SELL|39aTLV|4CDMG|5AART|69aVULN|79aDUR|8RCR|9aBPWR
166	13343 11123	2	   	245.81	ACR|3VULN|3DMG|1TLV|1DUR	1DUST|2RCR|356DMG|456VULN|56BPWR|7DUR|8TLV|9RCVC|aLIT
167	13343 11133	2	   	245.81	ACR|3VULN|3DMG|1TLV|1DUR	1DUST|2RCR|356DMG|456VULN|56BPWR|7DUR|8TLV|9LHND|aASPD
168	13343 11163	2	   	245.81	ACR|3VULN|3DMG|1TLV|1DUR	1DUST|2RCR|356DMG|456VULN|56BPWR|7DUR|8TLV|9FEWX|aASPD
169	23333 11113	2	   	245.81	ACR|3VULN|3DMG|1TLV|1DUR	1LWND|2RCR|356DMG|456VULN|56BPWR|7DUR|8TLV|9DUST|aASPD
170	21341 13525	1	   	245.81	ACR|3VULN|3DMG|1TLV|1DUR	1LWND|246VULN|367DMG|5RCR|6BPWR|8LIT|9DUR|aTLV
171	12122 41363	6	   	245.78	DCR|4VULN|2DUR|2CDMG	1aDUST|26DUR|3MBVNT|456aVULN|6aBPWR|7aCDMG|8RMIN|9RCR
172	13343 11113	2	   	245.71	ACR|3VULN|3DMG|1TLV|1DUR	19DUST|2RCR|356DMG|456VULN|56BPWR|7DUR|8TLV|aLIT
173	12122 33372	7	   	245.70	DCR|3VULN|2DMG|1DUR|1AART	19DUST|2DUR|3MBVNT|459VULN|6RCR|7AART|89DMG|9BPWR|aLIT
174	12122 38541	6	   	245.68	DCR|4VULN|2DUR|1DMG	1DUST|28DUR|3MBVNT|4579VULN|6RCR|aDMG
175	12122 38554	6	   	245.68	DCR|4VULN|2DUR|1DMG	1DUST|28DUR|3MBVNT|457aVULN|6RCR|9DMG
176	12122 43341	6	   	245.68	DCR|4VULN|2DUR|1DMG	18DUST|26DUR|3MBVNT|4569VULN|6BPWR|7RCR|aDMG
177	12122 43354	6	   	245.68	DCR|4VULN|2DUR|1DMG	18DUST|26DUR|3MBVNT|456aVULN|6BPWR|7RCR|9DMG
