0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45112 41132	10	 * 	295.34	DCR|5VULN|3DUR|2DMG	18DMG|24689VULN|348DUR|48BPWR|5RCVC|7RPLT|aRCR
172	45132 21324	6	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1DMG|2589VULN|3DUR|4TLV|6RCR|7RMIN|aAART
173	45132 33153	10	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1DMG|2569VULN|3DUR|4TLV|7RCVC|8AART|aRCR
174	23132 34216	7	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1568VULN|2DMG|3DUR|4TLV|7RMIN|9AART|aRCR
175	23132 36166	8	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1567VULN|2DMG|3DUR|4TLV|8AART|9RMIN|aRCR
176	23332 36351	8	   	267.15	DCR|4VULN|2DMG|1TLV	1567VULN|29DMG|3LHND|4TLV|8ASPD|aRCR
177	23132 36126	8	   	267.06	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1567VULN|2DMG|3DUR|4TLV|8AART|9ERES|aRCR
178	23232 36351	8	   	267.05	DCR|4VULN|2DMG|1TLV	1567VULN|29DMG|3LEGI|4TLV|8ASPD|aRCR
179	23232 34135	8	   	267.02	DCR|4VULN|2DMG|2TLV	1568VULN|28DMG|3LEGI|48TLV|7RMIN|8BPWR|9BELT|aRCR
180	23612 18422	7	   	266.48	DCR|3VULN|3DMG|2DUR	15aVULN|29aDMG|3ASPD|4MBVNT|6CGEN|7RCR|8aDUR|aBPWR
181	23612 18442	8	   	266.48	DCR|3VULN|3DMG|2DUR	15aVULN|28aDMG|3ASPD|4MBVNT|6CGEN|7RCR|9aDUR|aBPWR
182	23152 33353	3	   	266.38	DCR|3VULN|3DMG|2DUR	157VULN|267DMG|37DUR|4BBNT|7BPWR|8LIT|9ERES|aRCR
183	25162 12163	8	   	266.00	DCR|5VULN|3DUR	12578VULN|3DUST|478DUR|678CGEN|78BPWR|9LIT|aRCR
184	23111 14361	9	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18VULN|24DMG|34DUR|4BPWR|5BEXP|6CDMG|7LIT|9RCR|aTLV
185	23115 14361	9	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18VULN|24DMG|34DUR|4BPWR|5LWND|6CDMG|7LIT|9RCR|aTLV
186	23254 33362	1	   	265.97	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	158VULN|2AART|3LIT|48DMG|6RCR|78CDMG|8BPWR|9LHND|aDUR
187	23133 55336	10	   	265.85	DCR|3VULN|2DUR|1TLV|1DMG|2LIT|1SELL	19aVULN|2DMG|39DUR|4TLV|5SELL|6LHND|79LIT|8RCR|9BPWR
188	25443 31333	9	 * 	265.85	DCR|4VULN|2DUR|1DMG|2CDMG	1259VULN|37CDMG|4DMG|68DUR|aRCR
189	23132 21323	6	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1589VULN|2DMG|3DUR|4TLV|6RCR|7RMIN|aLIT
190	23132 26323	7	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1589VULN|2DMG|3DUR|4TLV|6RCR|7MLV|aLIT
191	23132 33511	9	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1568VULN|2DMG|3DUR|4TLV|7RCVC|9ASPD|aRCR
192	23132 56511	9	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1578VULN|2DMG|3DUR|4TLV|6DMSP|9ASPD|aRCR
193	45132 21323	6	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DMG|2589VULN|3DUR|4TLV|6RCR|7RMIN|aLIT
194	45132 26323	7	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DMG|2589VULN|3DUR|4TLV|6RCR|7MLV|aLIT
195	45132 33511	9	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DMG|2568VULN|3DUR|4TLV|7RCVC|9ASPD|aRCR
196	23254 33353	1	   	265.80	DCR|3VULN|2DMG|2CDMG|2AART	158VULN|2aAART|3LIT|48DMG|6RCR|78CDMG|8BPWR|9ASPD
197	23132 36334	8	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1567VULN|2DMG|3DUR|4TLV|8ASPD|9BBNT|aRCR
198	23132 21122	8	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1589VULN|2DMG|3DUR|4aTLV|6RCR|7BEXP
199	23132 22122	8	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1589VULN|2DMG|3DUR|4aTLV|6RCR|7LHND
200	23132 22132	9	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1589VULN|2DMG|3DUR|4aTLV|6RCR|7LHND
201	45132 21122	8	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3DUR|4aTLV|6RCR|7BEXP
202	45132 22122	8	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3DUR|4aTLV|6RCR|7LHND
203	45132 22132	9	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3DUR|4aTLV|6RCR|7LHND
204	23111 61214	4	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1aVULN|24DMG|348DUR|4BPWR|5FEWX|6TLV|7RCR|9ASPD
205	23113 61214	5	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1aVULN|24DMG|348DUR|4BPWR|5FEWX|6TLV|7RCR|9ASPD
206	23132 23122	8	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1589VULN|2DMG|3DUR|4aTLV|6RCR|7DUST
207	25162 25312	6	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1258VULN|3DUST|4DUR|6RCR|7aTLV|9DMG
208	25362 25312	6	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1258VULN|3LEGI|4DUR|6RCR|7aTLV|9DMG
209	45132 23122	8	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1DMG|2589VULN|3DUR|4aTLV|6RCR|7DUST
210	23254 33331	1	   	265.37	DCR|3VULN|3DMG|2CDMG|1AART	158VULN|2AART|3LIT|489DMG|6RCR|78CDMG|8BPWR|aRCVC
211	23254 33336	1	   	265.37	DCR|3VULN|3DMG|2CDMG|1AART	158VULN|2AART|3LIT|489DMG|6RCR|78CDMG|8BPWR|aCGEN
